cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE","District 37 Estimate","District 37 MOE","District 38 Estimate","District 38 MOE","District 39 Estimate","District 39 MOE","District 40 Estimate","District 40 MOE","District 41 Estimate","District 41 MOE","District 42 Estimate","District 42 MOE","District 43 Estimate","District 43 MOE","District 44 Estimate","District 44 MOE","District 45 Estimate","District 45 MOE","District 46 Estimate","District 46 MOE","District 47 Estimate","District 47 MOE","District 48 Estimate","District 48 MOE","District 49 Estimate","District 49 MOE","District 50 Estimate","District 50 MOE","District 51 Estimate","District 51 MOE","District 52 Estimate","District 52 MOE","District 53 Estimate","District 53 MOE"
Housing,Value,"$300,000 to $499,999",57551,"(+/- 3747 )",31051,"(+/- 2283 )",65195,"(+/- 3657 )",74483,"(+/- 3901 )",37877,"(+/- 2404 )",60804,"(+/- 3919 )",92860,"(+/- 4081 )",41109,"(+/- 3530 )",59119,"(+/- 3542 )",71182,"(+/- 3812 )",31431,"(+/- 2549 )",4174,"(+/- 1393 )",14161,"(+/- 2005 )",3383,"(+/- 859 )",8234,"(+/- 1373 )",29298,"(+/- 2625 )",4100,"(+/- 890 )",3692,"(+/- 878 )",6541,"(+/- 1157 )",25838,"(+/- 2242 )",16467,"(+/- 1909 )",57653,"(+/- 3729 )",47597,"(+/- 3369 )",37034,"(+/- 3044 )",42410,"(+/- 3174 )",29977,"(+/- 2229 )",11045,"(+/- 1341 )",7961,"(+/- 1289 )",26023,"(+/- 2013 )",16942,"(+/- 2116 )",59890,"(+/- 3883 )",33422,"(+/- 2517 )",3920,"(+/- 901 )",8896,"(+/- 1405 )",74282,"(+/- 4088 )",71580,"(+/- 4829 )",13121,"(+/- 1848 )",34618,"(+/- 2653 )",18780,"(+/- 1916 )",22732,"(+/- 2109 )",69935,"(+/- 4267 )",84960,"(+/- 4726 )",25600,"(+/- 2688 )",44374,"(+/- 2616 )",16798,"(+/- 2029 )",16767,"(+/- 2324 )",18492,"(+/- 1896 )",11885,"(+/- 1523 )",22621,"(+/- 2061 )",41451,"(+/- 3156 )",34239,"(+/- 2825 )",18455,"(+/- 2199 )",38175,"(+/- 2880 )"
Housing,Value,"$500,000 to $999,999",30601,"(+/- 2334 )",67768,"(+/- 4086 )",39182,"(+/- 2544 )",85387,"(+/- 3676 )",88162,"(+/- 3905 )",25267,"(+/- 2352 )",50831,"(+/- 3060 )",12451,"(+/- 1976 )",47676,"(+/- 3820 )",25559,"(+/- 2522 )",71297,"(+/- 3076 )",27646,"(+/- 2790 )",61460,"(+/- 3148 )",44728,"(+/- 3128 )",87151,"(+/- 3830 )",6568,"(+/- 1334 )",40692,"(+/- 2451 )",24223,"(+/- 1858 )",67343,"(+/- 3485 )",61985,"(+/- 3230 )",3325,"(+/- 762 )",15090,"(+/- 1892 )",11364,"(+/- 2074 )",60661,"(+/- 3112 )",70430,"(+/- 3004 )",79041,"(+/- 3020 )",81739,"(+/- 3788 )",51201,"(+/- 3279 )",52831,"(+/- 2796 )",85234,"(+/- 3593 )",32417,"(+/- 2370 )",65539,"(+/- 3018 )",37451,"(+/- 2886 )",31719,"(+/- 2355 )",25180,"(+/- 2602 )",23353,"(+/- 2343 )",43312,"(+/- 3058 )",79853,"(+/- 3011 )",105871,"(+/- 4011 )",28377,"(+/- 2272 )",18821,"(+/- 2061 )",57464,"(+/- 3424 )",61831,"(+/- 3759 )",35466,"(+/- 2861 )",107000,"(+/- 4094 )",55645,"(+/- 3430 )",74824,"(+/- 3632 )",76121,"(+/- 3311 )",81378,"(+/- 3993 )",83449,"(+/- 3924 )",22730,"(+/- 2261 )",84902,"(+/- 3437 )",82456,"(+/- 3879 )"
Housing,Value,"$1,000,000 or more",4879,"(+/- 914 )",49190,"(+/- 3076 )",5528,"(+/- 1133 )",10698,"(+/- 1410 )",16943,"(+/- 2248 )",3464,"(+/- 804 )",3792,"(+/- 922 )",2576,"(+/- 1044 )",3478,"(+/- 899 )",3452,"(+/- 910 )",51517,"(+/- 2942 )",79102,"(+/- 3608 )",48351,"(+/- 2589 )",96847,"(+/- 3649 )",58447,"(+/- 2761 )",2001,"(+/- 707 )",88858,"(+/- 3461 )",128691,"(+/- 4097 )",47336,"(+/- 2529 )",25728,"(+/- 2166 )",1590,"(+/- 570 )",2688,"(+/- 979 )",703,"(+/- 445 )",29164,"(+/- 2193 )",6302,"(+/- 994 )",19249,"(+/- 1465 )",33830,"(+/- 2638 )",37601,"(+/- 2736 )",3124,"(+/- 832 )",37794,"(+/- 2902 )",3547,"(+/- 1035 )",4455,"(+/- 1129 )",100400,"(+/- 4350 )",9035,"(+/- 1373 )",676,"(+/- 285 )",6729,"(+/- 1174 )",35663,"(+/- 3249 )",4119,"(+/- 953 )",19059,"(+/- 1881 )",1268,"(+/- 518 )",1823,"(+/- 721 )",5042,"(+/- 1132 )",9741,"(+/- 1498 )",2168,"(+/- 738 )",42806,"(+/- 3326 )",1883,"(+/- 550 )",11916,"(+/- 1579 )",46475,"(+/- 2956 )",46472,"(+/- 2844 )",7516,"(+/- 1375 )",1021,"(+/- 476 )",43541,"(+/- 3209 )",8600,"(+/- 1582 )"
Housing,Value,"Median (dollars)",312100,"(+/- 8621 )",694400,"(+/- 19511 )",397600,"(+/- 9313 )",473100,"(+/- 7623 )",583600,"(+/- 7537 )",356100,"(+/- 6020 )",421700,"(+/- 6420 )",270000,"(+/- 6013 )",409900,"(+/- 11265 )",372000,"(+/- 7153 )",735200,"(+/- 15591 )",1226000,"(+/- 30376 )",858500,"(+/- 15894 )",1161400,"(+/- 18644 )",888000,"(+/- 11828 )",262400,"(+/- 6559 )",1137100,"(+/- 15836 )",1588400,"(+/- 27883 )",894400,"(+/- 11747 )",666600,"(+/- 14000 )",214400,"(+/- 6513 )",298300,"(+/- 5606 )",264300,"(+/- 6424 )",624900,"(+/- 14764 )",496700,"(+/- 15263 )",631200,"(+/- 8163 )",770100,"(+/- 17542 )",882900,"(+/- 17895 )",565000,"(+/- 8406 )",717000,"(+/- 11524 )",390400,"(+/- 6793 )",555700,"(+/- 8581 )",1419000,"(+/- 70809 )",688100,"(+/- 15502 )",423700,"(+/- 5266 )",310900,"(+/- 7289 )",828000,"(+/- 30695 )",578600,"(+/- 7729 )",685300,"(+/- 9389 )",500800,"(+/- 14699 )",378800,"(+/- 5648 )",455800,"(+/- 5510 )",608300,"(+/- 12235 )",471900,"(+/- 5632 )",794400,"(+/- 12989 )",586500,"(+/- 7994 )",640300,"(+/- 8742 )",840200,"(+/- 12960 )",748200,"(+/- 18310 )",551200,"(+/- 10358 )",385300,"(+/- 15007 )",775300,"(+/- 16830 )",583900,"(+/- 7652 )"
Housing,"Mortgage Status","Owner-occupied units",177983,"(+/- 4316 )",178444,"(+/- 5353 )",152955,"(+/- 4593 )",214055,"(+/- 5456 )",166234,"(+/- 4634 )",134667,"(+/- 5456 )",176619,"(+/- 4665 )",140729,"(+/- 5505 )",148065,"(+/- 5069 )",143632,"(+/- 5675 )",167087,"(+/- 4493 )",115222,"(+/- 4460 )",130307,"(+/- 4514 )",149722,"(+/- 4473 )",161724,"(+/- 4945 )",101748,"(+/- 4235 )",141899,"(+/- 3850 )",159987,"(+/- 4522 )",131332,"(+/- 3578 )",125830,"(+/- 3782 )",101967,"(+/- 5012 )",152744,"(+/- 5877 )",154942,"(+/- 5452 )",144387,"(+/- 3813 )",154664,"(+/- 4178 )",139270,"(+/- 3334 )",129726,"(+/- 4111 )",99378,"(+/- 4372 )",88337,"(+/- 3843 )",145395,"(+/- 5351 )",130700,"(+/- 4809 )",115381,"(+/- 3803 )",146647,"(+/- 5053 )",51688,"(+/- 2818 )",117933,"(+/- 4172 )",192344,"(+/- 5409 )",95814,"(+/- 4597 )",126572,"(+/- 3587 )",153206,"(+/- 5180 )",59117,"(+/- 3226 )",113564,"(+/- 4366 )",169918,"(+/- 5881 )",104468,"(+/- 4653 )",92809,"(+/- 4104 )",176626,"(+/- 5314 )",81502,"(+/- 3799 )",113031,"(+/- 4830 )",147813,"(+/- 5242 )",161155,"(+/- 4901 )",155913,"(+/- 4935 )",90833,"(+/- 4458 )",153975,"(+/- 5495 )",138682,"(+/- 3903 )"
Housing,"Mortgage Status","Housing units with a mortgage",102905,"(+/- 4006 )",109542,"(+/- 5060 )",103026,"(+/- 3740 )",143631,"(+/- 4697 )",112163,"(+/- 4868 )",95297,"(+/- 5132 )",125319,"(+/- 3752 )",94634,"(+/- 4617 )",106176,"(+/- 4752 )",102069,"(+/- 4979 )",116450,"(+/- 4211 )",76451,"(+/- 3620 )",90468,"(+/- 4472 )",99322,"(+/- 4253 )",119185,"(+/- 4074 )",71114,"(+/- 4280 )",97116,"(+/- 3866 )",106565,"(+/- 3671 )",90687,"(+/- 3342 )",83156,"(+/- 3226 )",69242,"(+/- 4497 )",111449,"(+/- 5479 )",105321,"(+/- 5030 )",89414,"(+/- 3465 )",117890,"(+/- 4129 )",97231,"(+/- 3350 )",83762,"(+/- 3576 )",68255,"(+/- 3958 )",64477,"(+/- 3934 )",105319,"(+/- 5079 )",94701,"(+/- 4025 )",76897,"(+/- 3480 )",99540,"(+/- 4440 )",36340,"(+/- 2385 )",87831,"(+/- 4418 )",112276,"(+/- 4947 )",68815,"(+/- 3748 )",89024,"(+/- 3456 )",106151,"(+/- 4748 )",41443,"(+/- 2711 )",86853,"(+/- 4194 )",132118,"(+/- 5211 )",75244,"(+/- 4412 )",66331,"(+/- 3918 )",124412,"(+/- 5242 )",56626,"(+/- 3503 )",79902,"(+/- 3971 )",94562,"(+/- 4219 )",113894,"(+/- 4478 )",108086,"(+/- 5005 )",60994,"(+/- 3936 )",108194,"(+/- 4627 )",101119,"(+/- 3462 )"
Housing,"Mortgage Status","Housing units without a mortgage",75078,"(+/- 3625 )",68902,"(+/- 3601 )",49929,"(+/- 3305 )",70424,"(+/- 3944 )",54071,"(+/- 3226 )",39370,"(+/- 3005 )",51300,"(+/- 3268 )",46095,"(+/- 3149 )",41889,"(+/- 2936 )",41563,"(+/- 2976 )",50637,"(+/- 3177 )",38771,"(+/- 2547 )",39839,"(+/- 2726 )",50400,"(+/- 3159 )",42539,"(+/- 3191 )",30634,"(+/- 2294 )",44783,"(+/- 3029 )",53422,"(+/- 2807 )",40645,"(+/- 3185 )",42674,"(+/- 2893 )",32725,"(+/- 2638 )",41295,"(+/- 2740 )",49621,"(+/- 3714 )",54973,"(+/- 2493 )",36774,"(+/- 2974 )",42039,"(+/- 2524 )",45964,"(+/- 3070 )",31123,"(+/- 2638 )",23860,"(+/- 2104 )",40076,"(+/- 2440 )",35999,"(+/- 2944 )",38484,"(+/- 2453 )",47107,"(+/- 3317 )",15348,"(+/- 1584 )",30102,"(+/- 2309 )",80068,"(+/- 3975 )",26999,"(+/- 2914 )",37548,"(+/- 2314 )",47055,"(+/- 2769 )",17674,"(+/- 1781 )",26711,"(+/- 2207 )",37800,"(+/- 3018 )",29224,"(+/- 2670 )",26478,"(+/- 1818 )",52214,"(+/- 3577 )",24876,"(+/- 2369 )",33129,"(+/- 2260 )",53251,"(+/- 3115 )",47261,"(+/- 3633 )",47827,"(+/- 2893 )",29839,"(+/- 2752 )",45781,"(+/- 3508 )",37563,"(+/- 2550 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units with a mortgage",102905,"(+/- 4006 )",109542,"(+/- 5060 )",103026,"(+/- 3740 )",143631,"(+/- 4697 )",112163,"(+/- 4868 )",95297,"(+/- 5132 )",125319,"(+/- 3752 )",94634,"(+/- 4617 )",106176,"(+/- 4752 )",102069,"(+/- 4979 )",116450,"(+/- 4211 )",76451,"(+/- 3620 )",90468,"(+/- 4472 )",99322,"(+/- 4253 )",119185,"(+/- 4074 )",71114,"(+/- 4280 )",97116,"(+/- 3866 )",106565,"(+/- 3671 )",90687,"(+/- 3342 )",83156,"(+/- 3226 )",69242,"(+/- 4497 )",111449,"(+/- 5479 )",105321,"(+/- 5030 )",89414,"(+/- 3465 )",117890,"(+/- 4129 )",97231,"(+/- 3350 )",83762,"(+/- 3576 )",68255,"(+/- 3958 )",64477,"(+/- 3934 )",105319,"(+/- 5079 )",94701,"(+/- 4025 )",76897,"(+/- 3480 )",99540,"(+/- 4440 )",36340,"(+/- 2385 )",87831,"(+/- 4418 )",112276,"(+/- 4947 )",68815,"(+/- 3748 )",89024,"(+/- 3456 )",106151,"(+/- 4748 )",41443,"(+/- 2711 )",86853,"(+/- 4194 )",132118,"(+/- 5211 )",75244,"(+/- 4412 )",66331,"(+/- 3918 )",124412,"(+/- 5242 )",56626,"(+/- 3503 )",79902,"(+/- 3971 )",94562,"(+/- 4219 )",113894,"(+/- 4478 )",108086,"(+/- 5005 )",60994,"(+/- 3936 )",108194,"(+/- 4627 )",101119,"(+/- 3462 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Less than $500",910,"(+/- 446 )",918,"(+/- 653 )",800,"(+/- 534 )",395,"(+/- 313 )",427,"(+/- 269 )",386,"(+/- 248 )",786,"(+/- 454 )",1322,"(+/- 506 )",1079,"(+/- 538 )",386,"(+/- 289 )",722,"(+/- 390 )",708,"(+/- 508 )",288,"(+/- 200 )",751,"(+/- 340 )",329,"(+/- 222 )",560,"(+/- 410 )",366,"(+/- 315 )",376,"(+/- 239 )",701,"(+/- 484 )",586,"(+/- 335 )",867,"(+/- 468 )",969,"(+/- 505 )",676,"(+/- 318 )",590,"(+/- 316 )",435,"(+/- 302 )",421,"(+/- 240 )",242,"(+/- 153 )",284,"(+/- 229 )",104,"(+/- 107 )",349,"(+/- 223 )",762,"(+/- 432 )",827,"(+/- 407 )",347,"(+/- 225 )",154,"(+/- 149 )",523,"(+/- 243 )",1696,"(+/- 736 )",286,"(+/- 189 )",422,"(+/- 213 )",524,"(+/- 302 )",264,"(+/- 207 )",367,"(+/- 278 )",324,"(+/- 240 )",316,"(+/- 220 )",218,"(+/- 180 )",512,"(+/- 340 )",134,"(+/- 104 )",308,"(+/- 206 )",250,"(+/- 217 )",489,"(+/- 301 )",634,"(+/- 328 )",775,"(+/- 450 )",97,"(+/- 125 )",852,"(+/- 456 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$500 to $999",11896,"(+/- 1727 )",4272,"(+/- 1055 )",6452,"(+/- 1243 )",6292,"(+/- 1339 )",4335,"(+/- 1017 )",6989,"(+/- 1486 )",6394,"(+/- 1380 )",13229,"(+/- 2183 )",6262,"(+/- 1077 )",6405,"(+/- 1274 )",3266,"(+/- 834 )",1217,"(+/- 475 )",1422,"(+/- 468 )",1633,"(+/- 743 )",1597,"(+/- 657 )",11171,"(+/- 1852 )",1714,"(+/- 595 )",868,"(+/- 388 )",1308,"(+/- 565 )",2904,"(+/- 774 )",12619,"(+/- 1919 )",11767,"(+/- 1668 )",11081,"(+/- 1844 )",2858,"(+/- 833 )",4188,"(+/- 922 )",2166,"(+/- 668 )",1806,"(+/- 573 )",1283,"(+/- 465 )",934,"(+/- 333 )",1676,"(+/- 653 )",6015,"(+/- 1050 )",2952,"(+/- 666 )",1731,"(+/- 626 )",690,"(+/- 323 )",3779,"(+/- 908 )",9562,"(+/- 1716 )",969,"(+/- 425 )",3223,"(+/- 876 )",2686,"(+/- 762 )",2464,"(+/- 675 )",4241,"(+/- 1135 )",4546,"(+/- 1009 )",2006,"(+/- 608 )",2703,"(+/- 690 )",2066,"(+/- 672 )",1641,"(+/- 512 )",2026,"(+/- 656 )",2320,"(+/- 589 )",2470,"(+/- 720 )",3533,"(+/- 1148 )",5376,"(+/- 1322 )",2292,"(+/- 882 )",2408,"(+/- 721 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,000 to $1,499",26555,"(+/- 2084 )",11650,"(+/- 1633 )",18461,"(+/- 2019 )",20190,"(+/- 2394 )",12094,"(+/- 1568 )",20743,"(+/- 2305 )",17334,"(+/- 1721 )",31992,"(+/- 3184 )",17334,"(+/- 2381 )",23552,"(+/- 2543 )",8841,"(+/- 1591 )",1804,"(+/- 536 )",6075,"(+/- 1404 )",3101,"(+/- 752 )",6898,"(+/- 1245 )",23938,"(+/- 2880 )",3071,"(+/- 799 )",3345,"(+/- 830 )",4275,"(+/- 952 )",6588,"(+/- 1265 )",27590,"(+/- 2827 )",28083,"(+/- 3358 )",28099,"(+/- 3179 )",10844,"(+/- 1739 )",16253,"(+/- 2103 )",7856,"(+/- 1265 )",5966,"(+/- 1026 )",4245,"(+/- 948 )",5454,"(+/- 1024 )",5073,"(+/- 1224 )",17471,"(+/- 1992 )",9878,"(+/- 1654 )",2480,"(+/- 727 )",3619,"(+/- 755 )",15846,"(+/- 2075 )",24142,"(+/- 2855 )",3994,"(+/- 991 )",8406,"(+/- 1205 )",7735,"(+/- 1540 )",5742,"(+/- 1034 )",19285,"(+/- 2290 )",15614,"(+/- 1936 )",7780,"(+/- 1356 )",10468,"(+/- 1558 )",7097,"(+/- 1161 )",6772,"(+/- 1463 )",8253,"(+/- 1206 )",6038,"(+/- 1161 )",7728,"(+/- 1388 )",10058,"(+/- 1889 )",12222,"(+/- 1770 )",6131,"(+/- 1189 )",7129,"(+/- 1283 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$1,500 to $1,999",23310,"(+/- 1990 )",15192,"(+/- 1707 )",25213,"(+/- 2226 )",32257,"(+/- 2639 )",20235,"(+/- 1828 )",25433,"(+/- 2881 )",30508,"(+/- 2481 )",22859,"(+/- 2661 )",24969,"(+/- 2595 )",26742,"(+/- 2699 )",16928,"(+/- 2150 )",4772,"(+/- 1264 )",11354,"(+/- 1765 )",9475,"(+/- 1528 )",9251,"(+/- 1271 )",17776,"(+/- 2148 )",7154,"(+/- 1397 )",6036,"(+/- 1077 )",9031,"(+/- 1289 )",14343,"(+/- 1830 )",17445,"(+/- 2834 )",32525,"(+/- 3566 )",30783,"(+/- 3601 )",16987,"(+/- 2345 )",22975,"(+/- 2264 )",14099,"(+/- 1766 )",8787,"(+/- 1386 )",7007,"(+/- 1245 )",10751,"(+/- 1681 )",10871,"(+/- 1570 )",24039,"(+/- 2634 )",19107,"(+/- 1982 )",5251,"(+/- 1178 )",6083,"(+/- 1146 )",26067,"(+/- 2675 )",30587,"(+/- 3569 )",7912,"(+/- 1329 )",18279,"(+/- 2283 )",14662,"(+/- 1696 )",9709,"(+/- 1414 )",23747,"(+/- 2485 )",25362,"(+/- 2801 )",13289,"(+/- 2046 )",17751,"(+/- 2163 )",14565,"(+/- 1969 )",11032,"(+/- 1895 )",14056,"(+/- 1727 )",10950,"(+/- 1464 )",12254,"(+/- 2157 )",16549,"(+/- 1820 )",14356,"(+/- 2032 )",11627,"(+/- 1810 )",16195,"(+/- 1941 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,000 to $2,499",18897,"(+/- 2308 )",15534,"(+/- 2206 )",21469,"(+/- 2088 )",26332,"(+/- 2516 )",19911,"(+/- 2130 )",20186,"(+/- 2235 )",28694,"(+/- 2687 )",13749,"(+/- 2177 )",19828,"(+/- 2743 )",21230,"(+/- 2951 )",17085,"(+/- 2335 )",6531,"(+/- 1499 )",12928,"(+/- 1919 )",9649,"(+/- 1690 )",15254,"(+/- 1816 )",11510,"(+/- 2122 )",10789,"(+/- 1749 )",7513,"(+/- 1205 )",12132,"(+/- 1641 )",13883,"(+/- 1472 )",6137,"(+/- 1085 )",20172,"(+/- 2490 )",18871,"(+/- 2343 )",16059,"(+/- 1914 )",19998,"(+/- 2221 )",20445,"(+/- 2191 )",12591,"(+/- 1726 )",9688,"(+/- 1605 )",16902,"(+/- 2308 )",15180,"(+/- 2191 )",18166,"(+/- 2024 )",15916,"(+/- 1932 )",7564,"(+/- 1459 )",6724,"(+/- 1282 )",20057,"(+/- 2478 )",24335,"(+/- 2897 )",12970,"(+/- 1699 )",21208,"(+/- 2057 )",20596,"(+/- 2485 )",9326,"(+/- 1531 )",16743,"(+/- 2190 )",29981,"(+/- 2995 )",16317,"(+/- 2271 )",14298,"(+/- 1873 )",17921,"(+/- 2364 )",12225,"(+/- 1760 )",14159,"(+/- 2052 )",13155,"(+/- 1853 )",15238,"(+/- 1952 )",19357,"(+/- 1898 )",15020,"(+/- 2316 )",16383,"(+/- 2004 )",18381,"(+/- 1864 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$2,500 to $2,999",10278,"(+/- 1372 )",15075,"(+/- 1743 )",13944,"(+/- 1951 )",23002,"(+/- 2382 )",20501,"(+/- 2330 )",10680,"(+/- 1837 )",19459,"(+/- 2080 )",6743,"(+/- 1516 )",14949,"(+/- 2140 )",12336,"(+/- 1688 )",16401,"(+/- 2060 )",7691,"(+/- 1334 )",12808,"(+/- 1694 )",11345,"(+/- 1645 )",19222,"(+/- 2073 )",3343,"(+/- 1164 )",12270,"(+/- 1667 )",11739,"(+/- 1606 )",13817,"(+/- 1761 )",13502,"(+/- 1926 )",2301,"(+/- 847 )",8537,"(+/- 1301 )",8515,"(+/- 2026 )",13294,"(+/- 1876 )",18914,"(+/- 2300 )",16123,"(+/- 2085 )",14222,"(+/- 1994 )",8757,"(+/- 1429 )",12403,"(+/- 1511 )",16735,"(+/- 2207 )",12151,"(+/- 1840 )",12289,"(+/- 1599 )",9100,"(+/- 1475 )",6312,"(+/- 1091 )",12922,"(+/- 1966 )",9866,"(+/- 1719 )",11040,"(+/- 1593 )",18760,"(+/- 2119 )",16144,"(+/- 1944 )",7172,"(+/- 1304 )",12341,"(+/- 1854 )",26479,"(+/- 2642 )",13595,"(+/- 2346 )",9929,"(+/- 1547 )",20931,"(+/- 2144 )",11102,"(+/- 1600 )",13486,"(+/- 1665 )",13895,"(+/- 1509 )",17011,"(+/- 2461 )",20905,"(+/- 2387 )",6705,"(+/- 1428 )",14878,"(+/- 1919 )",19778,"(+/- 2404 )"
Housing,"Selected Monthly Owner Costs(SMOC)","$3,000 or more",11059,"(+/- 1555 )",46901,"(+/- 3094 )",16687,"(+/- 1833 )",35163,"(+/- 2584 )",34660,"(+/- 2909 )",10880,"(+/- 1314 )",22144,"(+/- 1915 )",4740,"(+/- 914 )",21755,"(+/- 2111 )",11418,"(+/- 1622 )",53207,"(+/- 2746 )",53728,"(+/- 3073 )",45593,"(+/- 2922 )",63368,"(+/- 3371 )",66634,"(+/- 3644 )",2816,"(+/- 988 )",61752,"(+/- 3232 )",76688,"(+/- 3607 )",49423,"(+/- 2655 )",31350,"(+/- 2706 )",2283,"(+/- 862 )",9396,"(+/- 1766 )",7296,"(+/- 1543 )",28782,"(+/- 2235 )",35127,"(+/- 2552 )",36121,"(+/- 2528 )",40148,"(+/- 2589 )",36991,"(+/- 2800 )",17929,"(+/- 2256 )",55435,"(+/- 3949 )",16097,"(+/- 2300 )",15928,"(+/- 1851 )",73067,"(+/- 3795 )",12758,"(+/- 1343 )",8637,"(+/- 1667 )",12088,"(+/- 1543 )",31644,"(+/- 2904 )",18726,"(+/- 2090 )",43804,"(+/- 2879 )",6766,"(+/- 1285 )",10129,"(+/- 2060 )",29812,"(+/- 2831 )",21941,"(+/- 2631 )",10964,"(+/- 2129 )",61320,"(+/- 3753 )",13720,"(+/- 1982 )",27614,"(+/- 2302 )",47954,"(+/- 2945 )",58704,"(+/- 3418 )",37050,"(+/- 3209 )",6540,"(+/- 1174 )",56786,"(+/- 3916 )",36376,"(+/- 3306 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Median (dollars)",1736,"(+/- 48 )",2739,"(+/- 81 )",2014,"(+/- 61 )",2241,"(+/- 51 )",2477,"(+/- 65 )",1896,"(+/- 40 )",2133,"(+/- 41 )",1514,"(+/- 50 )",2087,"(+/- 59 )",1899,"(+/- 43 )",2847,"(+/- 72 )",3902,"(+/- 129 )",3017,"(+/- 92 )",3541,"(+/- 109 )",3239,"(+/- 83 )",1497,"(+/- 62 )",3517,"(+/- 77 )","4,000+",(***),3195,"(+/- 98 )",2621,"(+/- 65 )",1384,"(+/- 38 )",1722,"(+/- 45 )",1698,"(+/- 50 )",2418,"(+/- 69 )",2377,"(+/- 71 )",2613,"(+/- 71 )",2939,"(+/- 77 )",3162,"(+/- 108 )",2444,"(+/- 59 )",3104,"(+/- 93 )",1978,"(+/- 58 )",2179,"(+/- 59 )","4,000+",(***),2571,"(+/- 101 )",1957,"(+/- 41 )",1826,"(+/- 49 )",2875,"(+/- 90 )",2334,"(+/- 53 )",2713,"(+/- 69 )",2136,"(+/- 80 )",1905,"(+/- 53 )",2337,"(+/- 44 )",2436,"(+/- 75 )",2071,"(+/- 76 )",2979,"(+/- 70 )",2357,"(+/- 78 )",2543,"(+/- 79 )",3029,"(+/- 84 )",3065,"(+/- 100 )",2594,"(+/- 52 )",1923,"(+/- 64 )",3085,"(+/- 82 )",2641,"(+/- 65 )"
Housing,"Selected Monthly Owner Costs(SMOC)","Housing units without a mortgage",75078,"(+/- 3625 )",68902,"(+/- 3601 )",49929,"(+/- 3305 )",70424,"(+/- 3944 )",54071,"(+/- 3226 )",39370,"(+/- 3005 )",51300,"(+/- 3268 )",46095,"(+/- 3149 )",41889,"(+/- 2936 )",41563,"(+/- 2976 )",50637,"(+/- 3177 )",38771,"(+/- 2547 )",39839,"(+/- 2726 )",50400,"(+/- 3159 )",42539,"(+/- 3191 )",30634,"(+/- 2294 )",44783,"(+/- 3029 )",53422,"(+/- 2807 )",40645,"(+/- 3185 )",42674,"(+/- 2893 )",32725,"(+/- 2638 )",41295,"(+/- 2740 )",49621,"(+/- 3714 )",54973,"(+/- 2493 )",36774,"(+/- 2974 )",42039,"(+/- 2524 )",45964,"(+/- 3070 )",31123,"(+/- 2638 )",23860,"(+/- 2104 )",40076,"(+/- 2440 )",35999,"(+/- 2944 )",38484,"(+/- 2453 )",47107,"(+/- 3317 )",15348,"(+/- 1584 )",30102,"(+/- 2309 )",80068,"(+/- 3975 )",26999,"(+/- 2914 )",37548,"(+/- 2314 )",47055,"(+/- 2769 )",17674,"(+/- 1781 )",26711,"(+/- 2207 )",37800,"(+/- 3018 )",29224,"(+/- 2670 )",26478,"(+/- 1818 )",52214,"(+/- 3577 )",24876,"(+/- 2369 )",33129,"(+/- 2260 )",53251,"(+/- 3115 )",47261,"(+/- 3633 )",47827,"(+/- 2893 )",29839,"(+/- 2752 )",45781,"(+/- 3508 )",37563,"(+/- 2550 )"
