cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE"
People,"Hispanic or Latino and Race","Other Hispanic or Latino",79499,"(+/- 9858 )",120477,"(+/- 10246 )",59053,"(+/- 8713 )",122343,"(+/- 10498 )",111477,"(+/- 11546 )",86886,"(+/- 10529 )",140440,"(+/- 11430 )",72696,"(+/- 9372 )",46352,"(+/- 6712 )",52757,"(+/- 7089 )",45772,"(+/- 6237 )",58844,"(+/- 7094 )",271605,"(+/- 14741 )",215257,"(+/- 12743 )",258017,"(+/- 15949 )",106352,"(+/- 10950 )",110524,"(+/- 9360 )",42913,"(+/- 5745 )",25542,"(+/- 3029 )",18640,"(+/- 3264 )",7963,"(+/- 1496 )",10466,"(+/- 2253 )",8544,"(+/- 1469 )",10356,"(+/- 2214 )",13535,"(+/- 2432 )",9143,"(+/- 2509 )",6174,"(+/- 1635 )"
People,"Hispanic or Latino and Race","Not Hispanic or Latino",585535,"(+/- 10736 )",534180,"(+/- 12890 )",645090,"(+/- 13651 )",566506,"(+/- 10364 )",607205,"(+/- 14695 )",572467,"(+/- 15101 )",425784,"(+/- 15208 )",644059,"(+/- 20642 )",632904,"(+/- 18222 )",634329,"(+/- 17929 )",610051,"(+/- 10026 )",621541,"(+/- 16595 )",342114,"(+/- 14768 )",349043,"(+/- 12893 )",266495,"(+/- 10760 )",532222,"(+/- 14009 )",570012,"(+/- 8760 )",587051,"(+/- 5927 )",641941,"(+/- 5112 )",677118,"(+/- 5864 )",671030,"(+/- 5006 )",660668,"(+/- 5335 )",658848,"(+/- 3795 )",668561,"(+/- 4183 )",647150,"(+/- 2977 )",653777,"(+/- 5432 )",698623,"(+/- 6666 )"
People,"Place of Birth","Total population",713168,"(+/- 5293 )",698974,"(+/- 9107 )",725746,"(+/- 11728 )",730314,"(+/- 12509 )",759001,"(+/- 18721 )",714299,"(+/- 18826 )",698794,"(+/- 21552 )",776825,"(+/- 19704 )",720316,"(+/- 19819 )",732732,"(+/- 20718 )",737390,"(+/- 11021 )",725760,"(+/- 18574 )",751661,"(+/- 19085 )",696664,"(+/- 17664 )",739390,"(+/- 17023 )",739893,"(+/- 13763 )",737355,"(+/- 6742 )",718624,"(+/- 5766 )",701011,"(+/- 5617 )",725669,"(+/- 6345 )",694835,"(+/- 5151 )",688391,"(+/- 5314 )",687583,"(+/- 3878 )",701841,"(+/- 4195 )",714657,"(+/- 3027 )",703114,"(+/- 5190 )",719554,"(+/- 6488 )"
People,"Place of Birth",Native,617980,"(+/- 8669 )",578910,"(+/- 11005 )",555327,"(+/- 12029 )",556219,"(+/- 11059 )",421857,"(+/- 15301 )",354122,"(+/- 13347 )",455180,"(+/- 17008 )",527905,"(+/- 16960 )",455059,"(+/- 17894 )",508579,"(+/- 17616 )",509556,"(+/- 11455 )",530796,"(+/- 16049 )",494408,"(+/- 16145 )",377833,"(+/- 13504 )",493830,"(+/- 14339 )",519964,"(+/- 13232 )",565277,"(+/- 10139 )",634328,"(+/- 7854 )",654213,"(+/- 5836 )",653974,"(+/- 7885 )",671655,"(+/- 5667 )",647355,"(+/- 5911 )",660612,"(+/- 4262 )",657669,"(+/- 5744 )",647881,"(+/- 6912 )",645964,"(+/- 7565 )",696817,"(+/- 7079 )"
People,"Place of Birth","Born in United States",610329,"(+/- 8750 )",563248,"(+/- 11001 )",545239,"(+/- 11996 )",543573,"(+/- 10857 )",407775,"(+/- 15044 )",338723,"(+/- 12999 )",417718,"(+/- 15642 )",506410,"(+/- 16621 )",436003,"(+/- 17830 )",488508,"(+/- 16999 )",491573,"(+/- 11160 )",509928,"(+/- 16037 )",458662,"(+/- 15461 )",343430,"(+/- 12700 )",432918,"(+/- 14520 )",492109,"(+/- 12826 )",543978,"(+/- 10391 )",615879,"(+/- 8118 )",644666,"(+/- 5767 )",643611,"(+/- 8025 )",664835,"(+/- 5726 )",641113,"(+/- 5993 )",651404,"(+/- 4623 )",650889,"(+/- 5867 )",624041,"(+/- 6805 )",629754,"(+/- 7446 )",690565,"(+/- 7269 )"
People,"Place of Birth","State of residence",554390,"(+/- 8359 )",528394,"(+/- 10437 )",499662,"(+/- 11815 )",501037,"(+/- 11363 )",365631,"(+/- 14656 )",311109,"(+/- 12537 )",318356,"(+/- 14028 )",417716,"(+/- 14665 )",344560,"(+/- 15735 )",328723,"(+/- 16853 )",459101,"(+/- 11794 )",298187,"(+/- 13381 )",361314,"(+/- 13569 )",300836,"(+/- 11492 )",398132,"(+/- 13771 )",413676,"(+/- 11891 )",451950,"(+/- 10142 )",507057,"(+/- 9374 )",522681,"(+/- 8562 )",538220,"(+/- 8852 )",535896,"(+/- 8806 )",556146,"(+/- 7203 )",509233,"(+/- 6481 )",561486,"(+/- 7224 )",519047,"(+/- 8177 )",555293,"(+/- 7942 )",613172,"(+/- 8219 )"
People,"Place of Birth","Different state",55939,"(+/- 4708 )",34854,"(+/- 3460 )",45577,"(+/- 4177 )",42536,"(+/- 3895 )",42144,"(+/- 3456 )",27614,"(+/- 2798 )",99362,"(+/- 5768 )",88694,"(+/- 5932 )",91443,"(+/- 6139 )",159785,"(+/- 7887 )",32472,"(+/- 3501 )",211741,"(+/- 10853 )",97348,"(+/- 7409 )",42594,"(+/- 4015 )",34786,"(+/- 3922 )",78433,"(+/- 5426 )",92028,"(+/- 5397 )",108822,"(+/- 7712 )",121985,"(+/- 6799 )",105391,"(+/- 5491 )",128939,"(+/- 6980 )",84967,"(+/- 5835 )",142171,"(+/- 5332 )",89403,"(+/- 4632 )",104994,"(+/- 5468 )",74461,"(+/- 4552 )",77393,"(+/- 4976 )"
People,"Place of Birth","Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",7651,"(+/- 1955 )",15662,"(+/- 3731 )",10088,"(+/- 2055 )",12646,"(+/- 2354 )",14082,"(+/- 2046 )",15399,"(+/- 3077 )",37462,"(+/- 3842 )",21495,"(+/- 2923 )",19056,"(+/- 3865 )",20071,"(+/- 3770 )",17983,"(+/- 2797 )",20868,"(+/- 3603 )",35746,"(+/- 4625 )",34403,"(+/- 3930 )",60912,"(+/- 5579 )",27855,"(+/- 3366 )",21299,"(+/- 3531 )",18449,"(+/- 2932 )",9547,"(+/- 1673 )",10363,"(+/- 1987 )",6820,"(+/- 1262 )",6242,"(+/- 1287 )",9208,"(+/- 2129 )",6780,"(+/- 1552 )",23840,"(+/- 3320 )",16210,"(+/- 2413 )",6252,"(+/- 1393 )"
People,"Place of Birth","Foreign born",95188,"(+/- 8063 )",120064,"(+/- 9216 )",170419,"(+/- 8786 )",174095,"(+/- 9434 )",337144,"(+/- 12424 )",360177,"(+/- 11705 )",243614,"(+/- 11025 )",248920,"(+/- 10616 )",265257,"(+/- 12544 )",224153,"(+/- 10864 )",227834,"(+/- 9436 )",194964,"(+/- 10701 )",257253,"(+/- 11947 )",318831,"(+/- 13862 )",245560,"(+/- 11326 )",219929,"(+/- 11497 )",172078,"(+/- 9053 )",84296,"(+/- 5897 )",46798,"(+/- 3573 )",71695,"(+/- 4805 )",23180,"(+/- 2725 )",41036,"(+/- 3643 )",26971,"(+/- 2318 )",44172,"(+/- 4759 )",66776,"(+/- 5958 )",57150,"(+/- 5187 )",22737,"(+/- 2953 )"
People,Ancestry,"Total population",713168,"(+/- 5293 )",698974,"(+/- 9107 )",725746,"(+/- 11728 )",730314,"(+/- 12509 )",759001,"(+/- 18721 )",714299,"(+/- 18826 )",698794,"(+/- 21552 )",776825,"(+/- 19704 )",720316,"(+/- 19819 )",732732,"(+/- 20718 )",737390,"(+/- 11021 )",725760,"(+/- 18574 )",751661,"(+/- 19085 )",696664,"(+/- 17664 )",739390,"(+/- 17023 )",739893,"(+/- 13763 )",737355,"(+/- 6742 )",718624,"(+/- 5766 )",701011,"(+/- 5617 )",725669,"(+/- 6345 )",694835,"(+/- 5151 )",688391,"(+/- 5314 )",687583,"(+/- 3878 )",701841,"(+/- 4195 )",714657,"(+/- 3027 )",703114,"(+/- 5190 )",719554,"(+/- 6488 )"
People,Ancestry,American,58743,"(+/- 9256 )",39044,"(+/- 5696 )",27653,"(+/- 3886 )",23520,"(+/- 3444 )",24665,"(+/- 4612 )",17899,"(+/- 2804 )",26977,"(+/- 4300 )",40324,"(+/- 6133 )",42868,"(+/- 7697 )",35387,"(+/- 5269 )",41256,"(+/- 5503 )",33698,"(+/- 6411 )",13210,"(+/- 2736 )",16459,"(+/- 3263 )",11618,"(+/- 2947 )",31310,"(+/- 4777 )",72658,"(+/- 6695 )",46900,"(+/- 5443 )",43437,"(+/- 5066 )",33956,"(+/- 5313 )",62776,"(+/- 5317 )",57910,"(+/- 6423 )",40224,"(+/- 3798 )",28464,"(+/- 3373 )",36513,"(+/- 4847 )",16081,"(+/- 2465 )",32874,"(+/- 4246 )"
People,Ancestry,Arab,2203,"(+/- 1228 )",1498,"(+/- 743 )",5757,"(+/- 1752 )",6278,"(+/- 2340 )",1953,"(+/- 1154 )",6117,"(+/- 1917 )",6314,"(+/- 2853 )",4665,"(+/- 1523 )",8706,"(+/- 3184 )",11556,"(+/- 3139 )",34747,"(+/- 7156 )",6998,"(+/- 1900 )",7659,"(+/- 5045 )",9807,"(+/- 3208 )",2651,"(+/- 1708 )",7972,"(+/- 3815 )",5334,"(+/- 1726 )",5079,"(+/- 2449 )",2627,"(+/- 1215 )",5288,"(+/- 2194 )",1383,"(+/- 687 )",8193,"(+/- 2482 )",2427,"(+/- 797 )",5622,"(+/- 2214 )",7186,"(+/- 3500 )",13932,"(+/- 4196 )",2390,"(+/- 1081 )"
People,Ancestry,Czech,2124,"(+/- 825 )",2050,"(+/- 937 )",1537,"(+/- 637 )",1388,"(+/- 559 )",424,"(+/- 556 )",585,"(+/- 400 )",1414,"(+/- 747 )",657,"(+/- 506 )",564,"(+/- 373 )",1920,"(+/- 910 )",917,"(+/- 917 )",3455,"(+/- 1195 )",462,"(+/- 333 )",1052,"(+/- 681 )",0,"(+/- 207 )",1052,"(+/- 664 )",2344,"(+/- 795 )",2086,"(+/- 698 )",3236,"(+/- 1047 )",1543,"(+/- 553 )",2196,"(+/- 945 )",2708,"(+/- 862 )",2092,"(+/- 653 )",1215,"(+/- 519 )",1901,"(+/- 771 )",1352,"(+/- 511 )",1397,"(+/- 617 )"
People,Ancestry,Danish,1585,"(+/- 952 )",491,"(+/- 365 )",1840,"(+/- 1422 )",1034,"(+/- 483 )",0,"(+/- 207 )",299,"(+/- 295 )",881,"(+/- 471 )",483,"(+/- 460 )",1009,"(+/- 532 )",1505,"(+/- 802 )",312,"(+/- 235 )",876,"(+/- 487 )",695,"(+/- 426 )",423,"(+/- 402 )",0,"(+/- 207 )",429,"(+/- 302 )",1443,"(+/- 708 )",2538,"(+/- 1473 )",3205,"(+/- 976 )",2334,"(+/- 923 )",1050,"(+/- 473 )",1042,"(+/- 414 )",2560,"(+/- 861 )",928,"(+/- 334 )",878,"(+/- 398 )",1524,"(+/- 1013 )",1552,"(+/- 738 )"
People,Ancestry,Dutch,4536,"(+/- 1419 )",2844,"(+/- 1091 )",4916,"(+/- 2011 )",3073,"(+/- 1293 )",332,"(+/- 294 )",401,"(+/- 273 )",3383,"(+/- 1062 )",1918,"(+/- 1284 )",2408,"(+/- 827 )",4940,"(+/- 1969 )",1496,"(+/- 643 )",7148,"(+/- 2452 )",1490,"(+/- 726 )",1006,"(+/- 572 )",404,"(+/- 375 )",2031,"(+/- 968 )",2997,"(+/- 978 )",9114,"(+/- 1660 )",22035,"(+/- 2447 )",19011,"(+/- 2834 )",15855,"(+/- 2459 )",14182,"(+/- 2262 )",18341,"(+/- 2226 )",19876,"(+/- 2499 )",14913,"(+/- 2198 )",5506,"(+/- 1350 )",11876,"(+/- 1709 )"
People,Ancestry,English,36724,"(+/- 3289 )",23549,"(+/- 3213 )",24748,"(+/- 3083 )",18130,"(+/- 3548 )",2500,"(+/- 1016 )",5372,"(+/- 955 )",14996,"(+/- 2388 )",11238,"(+/- 2340 )",13300,"(+/- 2217 )",31818,"(+/- 4778 )",10628,"(+/- 2201 )",32496,"(+/- 4682 )",9045,"(+/- 2598 )",6071,"(+/- 1555 )",1033,"(+/- 548 )",13510,"(+/- 2190 )",23439,"(+/- 3117 )",42172,"(+/- 3470 )",66109,"(+/- 4280 )",62159,"(+/- 4878 )",69056,"(+/- 4273 )",77224,"(+/- 5248 )",80306,"(+/- 4338 )",78270,"(+/- 5671 )",62378,"(+/- 4180 )",42144,"(+/- 3792 )",84818,"(+/- 5748 )"
People,Ancestry,"French (except Basque)",8817,"(+/- 1816 )",7503,"(+/- 2088 )",6282,"(+/- 1492 )",5507,"(+/- 1331 )",2169,"(+/- 1644 )",3559,"(+/- 1159 )",7477,"(+/- 1873 )",3087,"(+/- 866 )",4684,"(+/- 1045 )",9685,"(+/- 2324 )",3480,"(+/- 1027 )",14114,"(+/- 2676 )",4834,"(+/- 1607 )",4039,"(+/- 1204 )",1308,"(+/- 885 )",4263,"(+/- 1333 )",8793,"(+/- 2035 )",10493,"(+/- 2095 )",25420,"(+/- 2655 )",36253,"(+/- 4285 )",75883,"(+/- 6417 )",22471,"(+/- 2807 )",16170,"(+/- 2119 )",25344,"(+/- 3155 )",17337,"(+/- 2593 )",12540,"(+/- 1768 )",21202,"(+/- 2597 )"
People,Ancestry,"French Canadian",1682,"(+/- 693 )",1489,"(+/- 601 )",1279,"(+/- 778 )",1018,"(+/- 583 )",508,"(+/- 381 )",205,"(+/- 234 )",1017,"(+/- 582 )",968,"(+/- 459 )",1182,"(+/- 428 )",1075,"(+/- 576 )",813,"(+/- 466 )",3088,"(+/- 1333 )",1238,"(+/- 597 )",588,"(+/- 400 )",92,"(+/- 113 )",920,"(+/- 479 )",1580,"(+/- 658 )",3446,"(+/- 1134 )",6391,"(+/- 1214 )",11532,"(+/- 1786 )",30110,"(+/- 3634 )",9441,"(+/- 2090 )",3883,"(+/- 938 )",11795,"(+/- 2209 )",7023,"(+/- 1554 )",3674,"(+/- 1124 )",7135,"(+/- 1754 )"
People,Ancestry,German,98869,"(+/- 7650 )",75530,"(+/- 5938 )",60358,"(+/- 4772 )",56794,"(+/- 6148 )",8475,"(+/- 1755 )",21817,"(+/- 2660 )",25376,"(+/- 2706 )",12046,"(+/- 1963 )",18154,"(+/- 2802 )",38507,"(+/- 5309 )",24588,"(+/- 3707 )",52794,"(+/- 5890 )",14530,"(+/- 2177 )",14709,"(+/- 2640 )",1905,"(+/- 775 )",23616,"(+/- 2867 )",46185,"(+/- 4552 )",67873,"(+/- 4784 )",111021,"(+/- 5942 )",95164,"(+/- 6415 )",85319,"(+/- 5347 )",92676,"(+/- 5911 )",128900,"(+/- 5937 )",107403,"(+/- 5488 )",107735,"(+/- 6536 )",131655,"(+/- 5538 )",189481,"(+/- 8607 )"
People,Ancestry,Greek,7354,"(+/- 1798 )",7084,"(+/- 1949 )",16766,"(+/- 2793 )",6789,"(+/- 1847 )",1500,"(+/- 975 )",10423,"(+/- 2447 )",2410,"(+/- 868 )",1491,"(+/- 659 )",1465,"(+/- 575 )",4787,"(+/- 1341 )",7812,"(+/- 2088 )",11276,"(+/- 3047 )",4560,"(+/- 1660 )",10332,"(+/- 2260 )",245,"(+/- 204 )",3709,"(+/- 1177 )",5315,"(+/- 1609 )",7273,"(+/- 2544 )",4185,"(+/- 1362 )",2988,"(+/- 1146 )",2807,"(+/- 1253 )",2175,"(+/- 912 )",1835,"(+/- 622 )",2433,"(+/- 959 )",2460,"(+/- 816 )",2874,"(+/- 877 )",2258,"(+/- 1400 )"
People,Ancestry,Hungarian,3228,"(+/- 1081 )",3892,"(+/- 1561 )",5244,"(+/- 1285 )",6728,"(+/- 3500 )",1597,"(+/- 1353 )",3580,"(+/- 1142 )",13550,"(+/- 4138 )",3374,"(+/- 2039 )",1870,"(+/- 670 )",13442,"(+/- 3939 )",2237,"(+/- 977 )",8065,"(+/- 2044 )",834,"(+/- 609 )",1294,"(+/- 455 )",134,"(+/- 141 )",2225,"(+/- 836 )",16248,"(+/- 2759 )",14468,"(+/- 3073 )",7350,"(+/- 2071 )",2965,"(+/- 940 )",2574,"(+/- 606 )",2502,"(+/- 805 )",2629,"(+/- 981 )",2279,"(+/- 765 )",4187,"(+/- 1415 )",5715,"(+/- 1456 )",4746,"(+/- 1295 )"
People,Ancestry,Irish,136169,"(+/- 7592 )",115278,"(+/- 8351 )",91951,"(+/- 7159 )",95792,"(+/- 7672 )",16536,"(+/- 2840 )",32573,"(+/- 3774 )",31820,"(+/- 3248 )",21262,"(+/- 3561 )",22729,"(+/- 2882 )",51168,"(+/- 6144 )",58978,"(+/- 6707 )",68862,"(+/- 5980 )",20307,"(+/- 3952 )",28162,"(+/- 3551 )",3479,"(+/- 1219 )",54055,"(+/- 4770 )",82970,"(+/- 6220 )",120009,"(+/- 7258 )",133212,"(+/- 6328 )",148989,"(+/- 8014 )",118487,"(+/- 6315 )",113276,"(+/- 7434 )",103733,"(+/- 5395 )",132627,"(+/- 6405 )",100360,"(+/- 5349 )",101947,"(+/- 6288 )",125019,"(+/- 6577 )"
People,Ancestry,Italian,171700,"(+/- 9529 )",164005,"(+/- 9563 )",131328,"(+/- 7356 )",122925,"(+/- 6758 )",17737,"(+/- 3462 )",47146,"(+/- 4340 )",28295,"(+/- 3410 )",29258,"(+/- 4745 )",19580,"(+/- 2671 )",52648,"(+/- 5558 )",159493,"(+/- 10056 )",62264,"(+/- 6392 )",16262,"(+/- 3147 )",43406,"(+/- 4604 )",5623,"(+/- 1360 )",68177,"(+/- 4914 )",101228,"(+/- 5733 )",126896,"(+/- 6444 )",99347,"(+/- 6437 )",116661,"(+/- 6464 )",63738,"(+/- 5111 )",94750,"(+/- 6194 )",70075,"(+/- 4897 )",105241,"(+/- 5613 )",112495,"(+/- 6176 )",109181,"(+/- 6476 )",103825,"(+/- 6234 )"
People,Ancestry,Lithuanian,2396,"(+/- 864 )",1465,"(+/- 658 )",3418,"(+/- 1466 )",1926,"(+/- 1030 )",479,"(+/- 270 )",2757,"(+/- 1433 )",1493,"(+/- 629 )",762,"(+/- 539 )",1133,"(+/- 539 )",1992,"(+/- 741 )",608,"(+/- 412 )",2502,"(+/- 1180 )",491,"(+/- 423 )",550,"(+/- 450 )",38,"(+/- 63 )",763,"(+/- 398 )",2711,"(+/- 1115 )",1976,"(+/- 1152 )",2702,"(+/- 1087 )",1604,"(+/- 546 )",1660,"(+/- 881 )",2681,"(+/- 1384 )",1011,"(+/- 568 )",1176,"(+/- 509 )",1847,"(+/- 918 )",1281,"(+/- 764 )",911,"(+/- 501 )"
People,Ancestry,Norwegian,6800,"(+/- 1899 )",4165,"(+/- 1406 )",4025,"(+/- 1055 )",2660,"(+/- 953 )",297,"(+/- 210 )",562,"(+/- 534 )",1932,"(+/- 604 )",1070,"(+/- 608 )",1594,"(+/- 649 )",3144,"(+/- 1108 )",4879,"(+/- 1457 )",3994,"(+/- 1151 )",1653,"(+/- 871 )",960,"(+/- 830 )",0,"(+/- 207 )",1650,"(+/- 785 )",2754,"(+/- 1153 )",4595,"(+/- 1414 )",4915,"(+/- 927 )",3563,"(+/- 1154 )",4088,"(+/- 1387 )",4372,"(+/- 2315 )",2451,"(+/- 679 )",2594,"(+/- 997 )",1795,"(+/- 561 )",2291,"(+/- 824 )",2374,"(+/- 752 )"
People,Ancestry,Polish,38630,"(+/- 4902 )",34580,"(+/- 5160 )",37852,"(+/- 4185 )",33350,"(+/- 6231 )",7053,"(+/- 2445 )",28290,"(+/- 4636 )",16922,"(+/- 2718 )",13721,"(+/- 3446 )",13312,"(+/- 2247 )",30649,"(+/- 4553 )",22122,"(+/- 3750 )",39203,"(+/- 4818 )",6184,"(+/- 1476 )",5296,"(+/- 1245 )",753,"(+/- 617 )",15305,"(+/- 2982 )",29735,"(+/- 4362 )",32163,"(+/- 3675 )",32707,"(+/- 3606 )",42681,"(+/- 3412 )",27861,"(+/- 3253 )",43942,"(+/- 3596 )",42315,"(+/- 3706 )",41734,"(+/- 4018 )",33541,"(+/- 3022 )",102141,"(+/- 5899 )",98452,"(+/- 5723 )"
People,Ancestry,Portuguese,3754,"(+/- 1430 )",1449,"(+/- 678 )",2103,"(+/- 843 )",3881,"(+/- 1458 )",955,"(+/- 573 )",989,"(+/- 520 )",1415,"(+/- 652 )",1199,"(+/- 913 )",837,"(+/- 485 )",2639,"(+/- 1104 )",1514,"(+/- 842 )",2243,"(+/- 1032 )",1199,"(+/- 734 )",1355,"(+/- 829 )",68,"(+/- 83 )",4411,"(+/- 1498 )",3256,"(+/- 1202 )",3185,"(+/- 1062 )",3178,"(+/- 1938 )",1390,"(+/- 673 )",1434,"(+/- 723 )",1068,"(+/- 598 )",812,"(+/- 414 )",709,"(+/- 400 )",1789,"(+/- 912 )",422,"(+/- 254 )",989,"(+/- 667 )"
People,Ancestry,Russian,11605,"(+/- 2442 )",8843,"(+/- 1664 )",24825,"(+/- 3336 )",17635,"(+/- 3331 )",2264,"(+/- 811 )",23941,"(+/- 5208 )",9075,"(+/- 1745 )",18749,"(+/- 2925 )",20583,"(+/- 3073 )",31606,"(+/- 5409 )",28776,"(+/- 5024 )",31990,"(+/- 6419 )",4992,"(+/- 1215 )",3814,"(+/- 1689 )",520,"(+/- 317 )",16044,"(+/- 3449 )",18147,"(+/- 2437 )",10972,"(+/- 2082 )",10537,"(+/- 2239 )",8829,"(+/- 1783 )",4762,"(+/- 1213 )",4641,"(+/- 1105 )",4602,"(+/- 1184 )",4559,"(+/- 1712 )",6974,"(+/- 2604 )",4761,"(+/- 1249 )",4551,"(+/- 2252 )"
People,Ancestry,Scotch-Irish,1453,"(+/- 641 )",1309,"(+/- 678 )",1610,"(+/- 622 )",2001,"(+/- 946 )",825,"(+/- 511 )",314,"(+/- 179 )",1078,"(+/- 442 )",1273,"(+/- 647 )",1588,"(+/- 556 )",3049,"(+/- 943 )",1255,"(+/- 603 )",3655,"(+/- 1395 )",1088,"(+/- 630 )",684,"(+/- 513 )",44,"(+/- 70 )",1333,"(+/- 535 )",1267,"(+/- 588 )",3004,"(+/- 915 )",6511,"(+/- 2119 )",4384,"(+/- 1284 )",6028,"(+/- 1286 )",5684,"(+/- 1745 )",3426,"(+/- 768 )",4246,"(+/- 1081 )",3853,"(+/- 1136 )",2592,"(+/- 661 )",3964,"(+/- 929 )"
People,Ancestry,Scottish,6893,"(+/- 1901 )",3898,"(+/- 1095 )",4632,"(+/- 1090 )",4353,"(+/- 2357 )",1114,"(+/- 998 )",1440,"(+/- 621 )",3735,"(+/- 916 )",3077,"(+/- 970 )",4140,"(+/- 1131 )",7133,"(+/- 2189 )",2302,"(+/- 971 )",8537,"(+/- 1929 )",1826,"(+/- 818 )",1956,"(+/- 848 )",419,"(+/- 343 )",3256,"(+/- 1025 )",5032,"(+/- 1295 )",9154,"(+/- 1804 )",14107,"(+/- 2168 )",11607,"(+/- 1960 )",14624,"(+/- 2094 )",10114,"(+/- 1576 )",13413,"(+/- 1705 )",13392,"(+/- 2035 )",9383,"(+/- 1589 )",7949,"(+/- 1614 )",15638,"(+/- 2631 )"
People,Ancestry,Slovak,638,"(+/- 438 )",178,"(+/- 149 )",654,"(+/- 431 )",435,"(+/- 329 )",23,"(+/- 39 )",489,"(+/- 400 )",371,"(+/- 254 )",406,"(+/- 299 )",436,"(+/- 270 )",1678,"(+/- 875 )",236,"(+/- 210 )",2359,"(+/- 1276 )",250,"(+/- 230 )",1168,"(+/- 901 )",0,"(+/- 207 )",1273,"(+/- 850 )",3039,"(+/- 1324 )",2519,"(+/- 921 )",3228,"(+/- 1808 )",1567,"(+/- 627 )",2165,"(+/- 826 )",4848,"(+/- 1115 )",1096,"(+/- 412 )",1179,"(+/- 411 )",1136,"(+/- 529 )",536,"(+/- 397 )",630,"(+/- 450 )"
People,Ancestry,"Subsaharan African",1950,"(+/- 1146 )",2687,"(+/- 2214 )",3332,"(+/- 1866 )",3650,"(+/- 1610 )",16081,"(+/- 3556 )",3643,"(+/- 2298 )",3440,"(+/- 1427 )",18001,"(+/- 3708 )",31516,"(+/- 5131 )",2356,"(+/- 944 )",8935,"(+/- 3248 )",4841,"(+/- 2047 )",21444,"(+/- 4840 )",7080,"(+/- 2422 )",55913,"(+/- 9315 )",22522,"(+/- 5100 )",6597,"(+/- 2321 )",5265,"(+/- 2098 )",1542,"(+/- 799 )",7644,"(+/- 2465 )",3785,"(+/- 1338 )",3249,"(+/- 2236 )",2098,"(+/- 710 )",7555,"(+/- 2668 )",5556,"(+/- 2047 )",11591,"(+/- 4789 )",1009,"(+/- 690 )"
People,Ancestry,Swedish,5337,"(+/- 1333 )",3402,"(+/- 980 )",3753,"(+/- 1318 )",2583,"(+/- 951 )",506,"(+/- 516 )",1699,"(+/- 1240 )",3015,"(+/- 881 )",1385,"(+/- 624 )",1598,"(+/- 657 )",3315,"(+/- 986 )",1509,"(+/- 592 )",4057,"(+/- 1183 )",2798,"(+/- 1375 )",1789,"(+/- 767 )",485,"(+/- 552 )",1580,"(+/- 572 )",3460,"(+/- 1489 )",5780,"(+/- 1764 )",6720,"(+/- 1557 )",4345,"(+/- 1423 )",5195,"(+/- 1497 )",3284,"(+/- 782 )",19107,"(+/- 2248 )",4803,"(+/- 1307 )",5203,"(+/- 1153 )",2544,"(+/- 1072 )",8005,"(+/- 1868 )"
People,Ancestry,Swiss,1127,"(+/- 546 )",414,"(+/- 246 )",1691,"(+/- 1107 )",382,"(+/- 287 )",41,"(+/- 70 )",794,"(+/- 418 )",894,"(+/- 606 )",534,"(+/- 348 )",374,"(+/- 228 )",1823,"(+/- 835 )",130,"(+/- 122 )",2097,"(+/- 1082 )",588,"(+/- 364 )",213,"(+/- 232 )",0,"(+/- 207 )",280,"(+/- 311 )",1302,"(+/- 585 )",1017,"(+/- 520 )",2408,"(+/- 1033 )",1453,"(+/- 681 )",1995,"(+/- 642 )",2546,"(+/- 838 )",3496,"(+/- 927 )",2372,"(+/- 787 )",1374,"(+/- 608 )",1507,"(+/- 754 )",2259,"(+/- 1092 )"
People,Ancestry,Ukrainian,5067,"(+/- 2227 )",2768,"(+/- 1332 )",3419,"(+/- 935 )",2139,"(+/- 843 )",1895,"(+/- 1156 )",3610,"(+/- 1359 )",3302,"(+/- 889 )",12365,"(+/- 3376 )",8553,"(+/- 2115 )",8777,"(+/- 1957 )",15026,"(+/- 4098 )",6161,"(+/- 2077 )",1723,"(+/- 1059 )",1922,"(+/- 1215 )",88,"(+/- 111 )",3576,"(+/- 1078 )",3945,"(+/- 1204 )",4064,"(+/- 1108 )",4030,"(+/- 1136 )",9419,"(+/- 2259 )",2349,"(+/- 766 )",5670,"(+/- 1819 )",3926,"(+/- 1110 )",9045,"(+/- 2321 )",9174,"(+/- 2871 )",3574,"(+/- 1022 )",5050,"(+/- 1648 )"
