cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",79,G,69,J
Business,"Paid employees for pay period including March 12",Utilities,941,J,351,H
Business,"Paid employees for pay period including March 12",Construction,9722,G,10157,G
Business,"Paid employees for pay period including March 12",Manufacturing,18251,G,21218,G
Business,"Paid employees for pay period including March 12","Wholesale trade",8820,G,10941,G
Business,"Paid employees for pay period including March 12","Retail trade",19349,G,28490,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",5321,G,6807,G
Business,"Paid employees for pay period including March 12",Information,1804,G,4673,G
Business,"Paid employees for pay period including March 12","Finance and insurance",15556,H,15534,H
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",2667,G,2706,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",11199,G,10665,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",6517,H,8019,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",9673,G,12489,G
Business,"Paid employees for pay period including March 12","Educational services",20990,H,9282,H
Business,"Paid employees for pay period including March 12","Health care and social assistance",39711,G,47143,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",4014,H,5136,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",26256,G,26729,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",8788,G,9263,G
Business,"Paid employees for pay period including March 12","Industries not classified",21,J,22,G
Business,"Annual payroll ($1,000)","Total for all sectors",10293775,G,12109698,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",2102,H,6918,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",5979,G,5367,H
Business,"Annual payroll ($1,000)",Utilities,103219,J,44939,H
Business,"Annual payroll ($1,000)",Construction,676832,G,705095,G
Business,"Annual payroll ($1,000)",Manufacturing,1060616,G,1378739,G
Business,"Annual payroll ($1,000)","Wholesale trade",635720,G,790095,G
Business,"Annual payroll ($1,000)","Retail trade",621218,G,889189,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",249020,G,309989,G
Business,"Annual payroll ($1,000)",Information,106743,G,392066,G
Business,"Annual payroll ($1,000)","Finance and insurance",1274967,H,1567303,H
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",130277,G,140325,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",796093,G,788328,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",555742,H,636799,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",441234,G,519704,G
Business,"Annual payroll ($1,000)","Educational services",821198,H,320857,H
Business,"Annual payroll ($1,000)","Health care and social assistance",1774395,G,2530019,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",113466,G,131128,G
Business,"Annual payroll ($1,000)","Accommodation and food services",623866,G,605217,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",300322,G,346915,G
Business,"Annual payroll ($1,000)","Industries not classified",766,G,706,H
Business,"Total Establishments","Total for all sectors",13475,X,15014,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",14,X,27,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",7,X,7,X
Business,"Total Establishments",Utilities,20,X,24,X
Business,"Total Establishments",Construction,1496,X,1818,X
Business,"Total Establishments",Manufacturing,641,X,620,X
Business,"Total Establishments","Wholesale trade",576,X,654,X
Business,"Total Establishments","Retail trade",1684,X,1962,X
Business,"Total Establishments","Transportation and warehousing",345,X,382,X
Business,"Total Establishments",Information,177,X,220,X
Business,"Total Establishments","Finance and insurance",678,X,756,X
Business,"Total Establishments","Real estate and rental and leasing",553,X,583,X
Business,"Total Establishments","Professional, scientific, and technical services",1405,X,1544,X
Business,"Total Establishments","Management of companies and enterprises",72,X,83,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",777,X,1044,X
Business,"Total Establishments","Educational services",222,X,194,X
Business,"Total Establishments","Health care and social assistance",1540,X,1565,X
Business,"Total Establishments","Arts, entertainment, and recreation",288,X,317,X
Business,"Total Establishments","Accommodation and food services",1539,X,1646,X
Business,"Total Establishments","Other services (except public administration)",1426,X,1551,X
Business,"Total Establishments","Industries not classified",15,X,17,X

"Source: 2019 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
