cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE"
People,Ancestry,"French (except Basque)",4965,"(+/- 1188 )",10149,"(+/- 1663 )",4728,"(+/- 1055 )",5977,"(+/- 1465 )",11011,"(+/- 1686 )",12719,"(+/- 1919 )",5335,"(+/- 1302 )",8042,"(+/- 1678 )",10362,"(+/- 1539 )",9301,"(+/- 1782 )",6951,"(+/- 1798 )",18440,"(+/- 2734 )",14503,"(+/- 1949 )",18689,"(+/- 3571 )",13863,"(+/- 2347 )",19200,"(+/- 2588 )",13158,"(+/- 2073 )",14556,"(+/- 2071 )"
People,Ancestry,"French Canadian",1828,"(+/- 783 )",2082,"(+/- 713 )",1195,"(+/- 665 )",806,"(+/- 392 )",2205,"(+/- 623 )",3165,"(+/- 999 )",934,"(+/- 589 )",881,"(+/- 341 )",1890,"(+/- 695 )",2390,"(+/- 888 )",2492,"(+/- 1345 )",1253,"(+/- 615 )",1178,"(+/- 546 )",3369,"(+/- 2075 )",1551,"(+/- 818 )",3136,"(+/- 1085 )",1200,"(+/- 517 )",2154,"(+/- 870 )"
People,Ancestry,German,59674,"(+/- 5927 )",47838,"(+/- 4360 )",76567,"(+/- 5085 )",32298,"(+/- 3104 )",101464,"(+/- 5952 )",148285,"(+/- 8900 )",46859,"(+/- 4653 )",86442,"(+/- 6191 )",95839,"(+/- 5617 )",88435,"(+/- 6340 )",100873,"(+/- 6799 )",147508,"(+/- 6650 )",152985,"(+/- 7547 )",186508,"(+/- 11361 )",176420,"(+/- 7826 )",188255,"(+/- 7413 )",148609,"(+/- 6282 )",194946,"(+/- 7927 )"
People,Ancestry,Greek,4323,"(+/- 1592 )",2305,"(+/- 1200 )",5057,"(+/- 1625 )",2785,"(+/- 1178 )",11814,"(+/- 3362 )",8619,"(+/- 2218 )",4196,"(+/- 1683 )",6880,"(+/- 1907 )",13865,"(+/- 2947 )",8480,"(+/- 2307 )",5087,"(+/- 1385 )",561,"(+/- 389 )",2874,"(+/- 931 )",7027,"(+/- 2749 )",1327,"(+/- 553 )",3521,"(+/- 1267 )",1785,"(+/- 733 )",2105,"(+/- 960 )"
People,Ancestry,Hungarian,1231,"(+/- 554 )",1478,"(+/- 567 )",1805,"(+/- 770 )",979,"(+/- 431 )",5556,"(+/- 2009 )",4829,"(+/- 2186 )",2116,"(+/- 846 )",2044,"(+/- 839 )",3373,"(+/- 870 )",5140,"(+/- 2330 )",2015,"(+/- 751 )",2604,"(+/- 1049 )",2001,"(+/- 1023 )",3687,"(+/- 1312 )",1476,"(+/- 624 )",1939,"(+/- 725 )",1259,"(+/- 593 )",2116,"(+/- 741 )"
People,Ancestry,Irish,71365,"(+/- 6329 )",32555,"(+/- 3967 )",92852,"(+/- 6730 )",32976,"(+/- 3636 )",97165,"(+/- 5738 )",109363,"(+/- 7145 )",49626,"(+/- 5551 )",66402,"(+/- 6634 )",81700,"(+/- 4956 )",52100,"(+/- 4387 )",82114,"(+/- 7153 )",70787,"(+/- 5407 )",78278,"(+/- 5395 )",122226,"(+/- 8482 )",74546,"(+/- 5064 )",102416,"(+/- 6365 )",75500,"(+/- 5255 )",95406,"(+/- 5554 )"
People,Ancestry,Italian,30871,"(+/- 3784 )",17050,"(+/- 2655 )",53656,"(+/- 5408 )",21483,"(+/- 3577 )",65469,"(+/- 6182 )",71419,"(+/- 5873 )",32504,"(+/- 4586 )",57960,"(+/- 5528 )",41091,"(+/- 4445 )",32621,"(+/- 3610 )",48592,"(+/- 4511 )",21545,"(+/- 3264 )",27609,"(+/- 3522 )",65173,"(+/- 7280 )",13051,"(+/- 2459 )",52807,"(+/- 4353 )",19230,"(+/- 3163 )",24703,"(+/- 2731 )"
People,Ancestry,Lithuanian,5244,"(+/- 1328 )",1485,"(+/- 641 )",12124,"(+/- 3327 )",2234,"(+/- 851 )",2976,"(+/- 682 )",6991,"(+/- 1534 )",2630,"(+/- 1142 )",2166,"(+/- 821 )",3192,"(+/- 973 )",5583,"(+/- 1847 )",7460,"(+/- 2249 )",1499,"(+/- 740 )",2084,"(+/- 860 )",4262,"(+/- 1252 )",2106,"(+/- 1064 )",2921,"(+/- 1007 )",848,"(+/- 363 )",1394,"(+/- 763 )"
People,Ancestry,Norwegian,2429,"(+/- 1049 )",3568,"(+/- 1074 )",3617,"(+/- 1204 )",3924,"(+/- 1007 )",9183,"(+/- 1487 )",13131,"(+/- 2150 )",4270,"(+/- 1186 )",7899,"(+/- 1617 )",7985,"(+/- 1297 )",9032,"(+/- 2048 )",8525,"(+/- 3633 )",3915,"(+/- 1412 )",4803,"(+/- 1264 )",18134,"(+/- 2760 )",3688,"(+/- 1131 )",25386,"(+/- 3048 )",8945,"(+/- 1764 )",8138,"(+/- 1502 )"
People,Ancestry,Polish,50960,"(+/- 5481 )",24471,"(+/- 3367 )",97870,"(+/- 6871 )",29278,"(+/- 3436 )",88826,"(+/- 7551 )",86325,"(+/- 6224 )",24611,"(+/- 2842 )",74880,"(+/- 6542 )",62190,"(+/- 4912 )",49094,"(+/- 4109 )",58699,"(+/- 6812 )",16279,"(+/- 2338 )",16302,"(+/- 2692 )",80589,"(+/- 7405 )",11537,"(+/- 2047 )",38807,"(+/- 3761 )",12807,"(+/- 2114 )",13158,"(+/- 2546 )"
People,Ancestry,Portuguese,190,"(+/- 208 )",97,"(+/- 95 )",64,"(+/- 107 )",313,"(+/- 241 )",942,"(+/- 460 )",909,"(+/- 840 )",651,"(+/- 395 )",704,"(+/- 620 )",558,"(+/- 403 )",1215,"(+/- 706 )",585,"(+/- 449 )",1150,"(+/- 898 )",777,"(+/- 386 )",895,"(+/- 588 )",108,"(+/- 105 )",240,"(+/- 175 )",664,"(+/- 701 )",1093,"(+/- 451 )"
People,Ancestry,Russian,2962,"(+/- 1470 )",923,"(+/- 472 )",3015,"(+/- 1093 )",3826,"(+/- 1143 )",12364,"(+/- 3563 )",6827,"(+/- 2065 )",8419,"(+/- 2306 )",7482,"(+/- 2123 )",16004,"(+/- 2982 )",22157,"(+/- 2917 )",4215,"(+/- 1688 )",1664,"(+/- 940 )",2287,"(+/- 1189 )",6256,"(+/- 2548 )",571,"(+/- 340 )",5307,"(+/- 2078 )",1419,"(+/- 569 )",2117,"(+/- 959 )"
People,Ancestry,Scotch-Irish,1573,"(+/- 686 )",1464,"(+/- 618 )",3205,"(+/- 1154 )",644,"(+/- 368 )",2717,"(+/- 885 )",5498,"(+/- 1681 )",2647,"(+/- 1303 )",1262,"(+/- 707 )",5565,"(+/- 1374 )",3231,"(+/- 921 )",2902,"(+/- 883 )",6819,"(+/- 1912 )",7093,"(+/- 1786 )",4979,"(+/- 1314 )",6556,"(+/- 1315 )",5534,"(+/- 1099 )",5046,"(+/- 1096 )",6743,"(+/- 1385 )"
People,Ancestry,Scottish,3684,"(+/- 1054 )",3050,"(+/- 1016 )",6172,"(+/- 1617 )",4181,"(+/- 1840 )",8383,"(+/- 1950 )",13539,"(+/- 2119 )",4149,"(+/- 1119 )",3799,"(+/- 992 )",10233,"(+/- 2109 )",5919,"(+/- 1275 )",5646,"(+/- 1543 )",8540,"(+/- 1893 )",12726,"(+/- 2097 )",8948,"(+/- 2497 )",8044,"(+/- 1598 )",10871,"(+/- 1976 )",7763,"(+/- 1263 )",12955,"(+/- 2536 )"
People,Ancestry,Slovak,1975,"(+/- 772 )",422,"(+/- 207 )",3568,"(+/- 1211 )",536,"(+/- 321 )",1948,"(+/- 653 )",2602,"(+/- 816 )",1104,"(+/- 615 )",1688,"(+/- 786 )",1987,"(+/- 993 )",1248,"(+/- 549 )",2849,"(+/- 854 )",486,"(+/- 372 )",1473,"(+/- 612 )",3476,"(+/- 2530 )",547,"(+/- 606 )",3754,"(+/- 1061 )",631,"(+/- 413 )",1399,"(+/- 648 )"
People,Ancestry,"Subsaharan African",11472,"(+/- 2800 )",26196,"(+/- 3743 )",2534,"(+/- 1614 )",1057,"(+/- 744 )",3690,"(+/- 1560 )",2000,"(+/- 1048 )",10648,"(+/- 2927 )",5642,"(+/- 2670 )",19272,"(+/- 4480 )",2541,"(+/- 1071 )",9282,"(+/- 3408 )",5954,"(+/- 2238 )",5912,"(+/- 2093 )",2434,"(+/- 1391 )",1181,"(+/- 641 )",3882,"(+/- 1861 )",9627,"(+/- 2278 )",3684,"(+/- 1745 )"
People,Ancestry,Swedish,5946,"(+/- 1264 )",5328,"(+/- 1363 )",9609,"(+/- 2189 )",4346,"(+/- 1464 )",13038,"(+/- 1752 )",24813,"(+/- 3638 )",5277,"(+/- 1401 )",11775,"(+/- 2143 )",15397,"(+/- 2481 )",13823,"(+/- 2675 )",12961,"(+/- 2915 )",4994,"(+/- 1540 )",7464,"(+/- 1447 )",28079,"(+/- 4504 )",5404,"(+/- 1528 )",33965,"(+/- 4594 )",30213,"(+/- 3306 )",12133,"(+/- 2079 )"
People,Ancestry,Swiss,714,"(+/- 647 )",636,"(+/- 433 )",723,"(+/- 427 )",460,"(+/- 271 )",1753,"(+/- 581 )",2307,"(+/- 764 )",1888,"(+/- 1047 )",1123,"(+/- 443 )",1753,"(+/- 571 )",1795,"(+/- 830 )",1471,"(+/- 1317 )",2304,"(+/- 942 )",1256,"(+/- 529 )",2497,"(+/- 1037 )",3759,"(+/- 1138 )",4799,"(+/- 1870 )",3001,"(+/- 857 )",5042,"(+/- 1327 )"
People,Ancestry,Ukrainian,707,"(+/- 403 )",1243,"(+/- 1219 )",1934,"(+/- 1211 )",3453,"(+/- 1485 )",10188,"(+/- 2590 )",4598,"(+/- 1584 )",4287,"(+/- 1843 )",3781,"(+/- 1315 )",5876,"(+/- 1839 )",8649,"(+/- 2643 )",1390,"(+/- 635 )",972,"(+/- 711 )",622,"(+/- 341 )",3621,"(+/- 1815 )",1033,"(+/- 694 )",1118,"(+/- 560 )",453,"(+/- 253 )",502,"(+/- 395 )"
People,Ancestry,Welsh,1471,"(+/- 690 )",1602,"(+/- 1054 )",1415,"(+/- 668 )",1037,"(+/- 518 )",3453,"(+/- 1166 )",3019,"(+/- 879 )",2622,"(+/- 1061 )",2551,"(+/- 944 )",4121,"(+/- 1257 )",1497,"(+/- 563 )",2227,"(+/- 900 )",4177,"(+/- 1120 )",5016,"(+/- 1351 )",3648,"(+/- 1193 )",5085,"(+/- 1346 )",3928,"(+/- 882 )",3368,"(+/- 941 )",5213,"(+/- 1262 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",4537,"(+/- 2020 )",6439,"(+/- 2439 )",1478,"(+/- 1052 )",467,"(+/- 276 )",1618,"(+/- 778 )",736,"(+/- 577 )",2418,"(+/- 1265 )",3531,"(+/- 3107 )",6444,"(+/- 2763 )",3720,"(+/- 1927 )",1637,"(+/- 944 )",2812,"(+/- 1979 )",397,"(+/- 255 )",1615,"(+/- 1120 )",533,"(+/- 446 )",2300,"(+/- 1484 )",390,"(+/- 461 )",311,"(+/- 258 )"
People,"Veteran Status","Civilian population 18 years and over",554275,"(+/- 12982 )",529200,"(+/- 10090 )",541336,"(+/- 12543 )",521163,"(+/- 15734 )",594589,"(+/- 13976 )",550615,"(+/- 9919 )",582540,"(+/- 15545 )",546829,"(+/- 9186 )",569015,"(+/- 9925 )",529889,"(+/- 7105 )",544763,"(+/- 9851 )",527630,"(+/- 3636 )",560338,"(+/- 6981 )",544769,"(+/- 8438 )",534244,"(+/- 3790 )",545549,"(+/- 5296 )",518720,"(+/- 5968 )",540181,"(+/- 6214 )"
People,"Veteran Status","Civilian veterans",28389,"(+/- 2935 )",30505,"(+/- 2951 )",21292,"(+/- 2316 )",11537,"(+/- 2097 )",17067,"(+/- 2232 )",24693,"(+/- 2385 )",18061,"(+/- 2016 )",19478,"(+/- 1650 )",19355,"(+/- 1832 )",24661,"(+/- 2151 )",24524,"(+/- 2569 )",53646,"(+/- 2995 )",40595,"(+/- 2988 )",30659,"(+/- 3082 )",41698,"(+/- 2492 )",41009,"(+/- 2738 )",40196,"(+/- 2366 )",38788,"(+/- 2327 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",706225,"(+/- 18048 )",679613,"(+/- 13044 )",694864,"(+/- 16873 )",674474,"(+/- 22615 )",735499,"(+/- 18273 )",705903,"(+/- 11957 )",713366,"(+/- 21718 )",713050,"(+/- 12433 )",709797,"(+/- 14108 )",686206,"(+/- 7713 )",716765,"(+/- 11216 )",659053,"(+/- 3960 )",686242,"(+/- 8776 )",723879,"(+/- 9969 )",663880,"(+/- 6198 )",680789,"(+/- 6610 )",649957,"(+/- 7944 )",688815,"(+/- 9826 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",90854,"(+/- 5953 )",84163,"(+/- 5499 )",76124,"(+/- 5144 )",59968,"(+/- 5253 )",56178,"(+/- 4292 )",53709,"(+/- 3829 )",97472,"(+/- 7077 )",63951,"(+/- 4406 )",65450,"(+/- 4248 )",71251,"(+/- 4737 )",66473,"(+/- 4833 )",110918,"(+/- 6311 )",91607,"(+/- 5231 )",66400,"(+/- 4625 )",103725,"(+/- 4224 )",90713,"(+/- 4048 )",96650,"(+/- 4931 )",84761,"(+/- 4167 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",156468,"(+/- 8550 )",155986,"(+/- 8862 )",161033,"(+/- 9636 )",155362,"(+/- 10003 )",144636,"(+/- 7771 )",159883,"(+/- 6164 )",144103,"(+/- 11753 )",169952,"(+/- 8945 )",149442,"(+/- 8926 )",165436,"(+/- 4541 )",176410,"(+/- 6700 )",145683,"(+/- 2332 )",137810,"(+/- 3941 )",182286,"(+/- 6108 )",150680,"(+/- 3231 )",148212,"(+/- 3347 )",146317,"(+/- 4317 )",161022,"(+/- 5506 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",4666,"(+/- 1350 )",4026,"(+/- 1008 )",4038,"(+/- 1243 )",5308,"(+/- 1625 )",3763,"(+/- 1192 )",3232,"(+/- 939 )",6001,"(+/- 1693 )",5806,"(+/- 1239 )",3042,"(+/- 939 )",5734,"(+/- 1339 )",6810,"(+/- 2305 )",9126,"(+/- 1873 )",6033,"(+/- 1611 )",7155,"(+/- 1884 )",6556,"(+/- 1272 )",5931,"(+/- 1353 )",6705,"(+/- 1410 )",7337,"(+/- 1536 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",433666,"(+/- 12909 )",419399,"(+/- 9461 )",421535,"(+/- 12526 )",444116,"(+/- 14883 )",497650,"(+/- 13575 )",427339,"(+/- 9770 )",469629,"(+/- 14501 )",446908,"(+/- 9377 )",434983,"(+/- 8845 )",413562,"(+/- 6853 )",450388,"(+/- 9311 )",394301,"(+/- 3929 )",437023,"(+/- 6856 )",435376,"(+/- 8058 )",385989,"(+/- 4492 )",407683,"(+/- 5151 )",380316,"(+/- 5768 )",396115,"(+/- 5684 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",48733,"(+/- 4141 )",45538,"(+/- 4426 )",35341,"(+/- 3919 )",32322,"(+/- 3173 )",24013,"(+/- 3012 )",20397,"(+/- 2183 )",51981,"(+/- 5494 )",30945,"(+/- 3575 )",27184,"(+/- 3182 )",33745,"(+/- 3282 )",32621,"(+/- 3304 )",55480,"(+/- 4462 )",49316,"(+/- 3982 )",30459,"(+/- 2778 )",50373,"(+/- 3331 )",45010,"(+/- 3069 )",49724,"(+/- 3907 )",37853,"(+/- 3001 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",116091,"(+/- 4951 )",104228,"(+/- 4597 )",112296,"(+/- 6001 )",74996,"(+/- 4961 )",93213,"(+/- 5156 )",118681,"(+/- 5838 )",99634,"(+/- 5337 )",96190,"(+/- 5509 )",125372,"(+/- 6012 )",107208,"(+/- 3600 )",89967,"(+/- 4503 )",119069,"(+/- 1895 )",111409,"(+/- 2595 )",106217,"(+/- 4839 )",127211,"(+/- 2291 )",124894,"(+/- 2866 )",123324,"(+/- 2515 )",131678,"(+/- 2797 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",37455,"(+/- 3178 )",34599,"(+/- 2927 )",36745,"(+/- 3440 )",22338,"(+/- 2509 )",28402,"(+/- 3033 )",30080,"(+/- 3297 )",39490,"(+/- 3660 )",27200,"(+/- 2503 )",35224,"(+/- 2789 )",31772,"(+/- 2871 )",27042,"(+/- 2744 )",46312,"(+/- 2758 )",36258,"(+/- 2536 )",28786,"(+/- 3202 )",46796,"(+/- 2390 )",39772,"(+/- 2608 )",40221,"(+/- 2544 )",39571,"(+/- 2526 )"
People,"Residence 1 Year Ago","Population 1 year and over",702825,"(+/- 17630 )",677195,"(+/- 12909 )",694297,"(+/- 16860 )",670055,"(+/- 22154 )",729559,"(+/- 17588 )",703977,"(+/- 11858 )",718985,"(+/- 21020 )",706473,"(+/- 11969 )",710614,"(+/- 13995 )",699340,"(+/- 8032 )",715547,"(+/- 10998 )",672871,"(+/- 3348 )",693382,"(+/- 8630 )",720164,"(+/- 9768 )",679199,"(+/- 5630 )",688280,"(+/- 6799 )",658744,"(+/- 7716 )",695032,"(+/- 9388 )"
People,"Residence 1 Year Ago","Same house",615156,"(+/- 18298 )",604247,"(+/- 15399 )",638425,"(+/- 17527 )",609115,"(+/- 21142 )",625262,"(+/- 17027 )",630925,"(+/- 12780 )",596218,"(+/- 20240 )",635593,"(+/- 13137 )",626774,"(+/- 15220 )",609302,"(+/- 9479 )",627682,"(+/- 11646 )",587239,"(+/- 7847 )",580511,"(+/- 9575 )",642064,"(+/- 12970 )",593302,"(+/- 7257 )",610583,"(+/- 8741 )",578016,"(+/- 9265 )",603645,"(+/- 9457 )"
People,"Residence 1 Year Ago","Different house in the U.S.",84976,"(+/- 9426 )",70811,"(+/- 8591 )",53602,"(+/- 7976 )",58180,"(+/- 6909 )",99829,"(+/- 7085 )",70257,"(+/- 6473 )",115838,"(+/- 10462 )",64441,"(+/- 7571 )",77232,"(+/- 8149 )",85455,"(+/- 7453 )",84938,"(+/- 9264 )",84373,"(+/- 6989 )",108811,"(+/- 6749 )",76254,"(+/- 8993 )",84600,"(+/- 6074 )",76804,"(+/- 5953 )",79056,"(+/- 6395 )",89261,"(+/- 7363 )"
People,"Residence 1 Year Ago","Same county",69446,"(+/- 8811 )",56207,"(+/- 8441 )",38592,"(+/- 6477 )",48738,"(+/- 5878 )",75962,"(+/- 5957 )",36959,"(+/- 5112 )",87691,"(+/- 8950 )",41613,"(+/- 6859 )",60339,"(+/- 7479 )",50911,"(+/- 6994 )",46611,"(+/- 7762 )",44346,"(+/- 4772 )",61921,"(+/- 5505 )",36034,"(+/- 6140 )",48970,"(+/- 5096 )",41226,"(+/- 4612 )",51883,"(+/- 5644 )",51015,"(+/- 5697 )"
People,"Residence 1 Year Ago","Different county",15530,"(+/- 2792 )",14604,"(+/- 3093 )",15010,"(+/- 5266 )",9442,"(+/- 2804 )",23867,"(+/- 3651 )",33298,"(+/- 4833 )",28147,"(+/- 4481 )",22828,"(+/- 3769 )",16893,"(+/- 2624 )",34544,"(+/- 4658 )",38327,"(+/- 4656 )",40027,"(+/- 5549 )",46890,"(+/- 5005 )",40220,"(+/- 6438 )",35630,"(+/- 3768 )",35578,"(+/- 4800 )",27173,"(+/- 2735 )",38246,"(+/- 4193 )"
People,"Residence 1 Year Ago","Same state",6116,"(+/- 1536 )",9933,"(+/- 2534 )",11759,"(+/- 5180 )",3067,"(+/- 826 )",9887,"(+/- 2780 )",24238,"(+/- 4446 )",8845,"(+/- 2908 )",16985,"(+/- 3611 )",5140,"(+/- 1333 )",14899,"(+/- 3554 )",30631,"(+/- 4474 )",24351,"(+/- 3872 )",33199,"(+/- 4227 )",27940,"(+/- 5356 )",28012,"(+/- 3435 )",25560,"(+/- 3990 )",17971,"(+/- 2402 )",27094,"(+/- 3403 )"
People,"Residence 1 Year Ago","Different state",9414,"(+/- 2079 )",4671,"(+/- 1729 )",3251,"(+/- 1121 )",6375,"(+/- 2827 )",13980,"(+/- 2203 )",9060,"(+/- 2262 )",19302,"(+/- 3836 )",5843,"(+/- 1230 )",11753,"(+/- 2334 )",19645,"(+/- 3493 )",7696,"(+/- 2021 )",15676,"(+/- 3563 )",13691,"(+/- 2579 )",12280,"(+/- 3226 )",7618,"(+/- 2090 )",10018,"(+/- 2744 )",9202,"(+/- 1911 )",11152,"(+/- 2783 )"
People,"Residence 1 Year Ago",Abroad,2693,"(+/- 1135 )",2137,"(+/- 1851 )",2270,"(+/- 901 )",2760,"(+/- 1104 )",4468,"(+/- 1848 )",2795,"(+/- 928 )",6929,"(+/- 2494 )",6439,"(+/- 2007 )",6608,"(+/- 2302 )",4583,"(+/- 1635 )",2927,"(+/- 1244 )",1259,"(+/- 622 )",4060,"(+/- 1442 )",1846,"(+/- 816 )",1297,"(+/- 621 )",893,"(+/- 599 )",1672,"(+/- 743 )",2126,"(+/- 1058 )"
Workers,"Employment Status","Population 16 years and over",573686,"(+/- 13908 )",548377,"(+/- 10424 )",560054,"(+/- 12975 )",539084,"(+/- 16576 )",609255,"(+/- 14110 )",570702,"(+/- 9616 )",598013,"(+/- 15660 )",566049,"(+/- 9577 )",584924,"(+/- 10470 )",562271,"(+/- 7104 )",566681,"(+/- 10138 )",550883,"(+/- 3226 )",576075,"(+/- 7233 )",566658,"(+/- 8540 )",551661,"(+/- 4434 )",563875,"(+/- 5827 )",537633,"(+/- 6318 )",558902,"(+/- 6424 )"
Workers,"Employment Status","In labor force",359565,"(+/- 11992 )",347386,"(+/- 8949 )",352068,"(+/- 12205 )",370541,"(+/- 12719 )",448703,"(+/- 11895 )",388105,"(+/- 9571 )",382507,"(+/- 12764 )",397382,"(+/- 10341 )",374526,"(+/- 8829 )",382960,"(+/- 7724 )",397495,"(+/- 8702 )",335883,"(+/- 5833 )",344208,"(+/- 7378 )",393392,"(+/- 9084 )",326765,"(+/- 5515 )",356483,"(+/- 5502 )",324961,"(+/- 6627 )",345283,"(+/- 6170 )"
Workers,"Employment Status","Civilian labor force",359427,"(+/- 12028 )",347117,"(+/- 8923 )",352068,"(+/- 12205 )",370497,"(+/- 12725 )",448607,"(+/- 11868 )",388025,"(+/- 9577 )",381901,"(+/- 12837 )",397115,"(+/- 10346 )",373894,"(+/- 8808 )",372215,"(+/- 7626 )",397272,"(+/- 8689 )",330438,"(+/- 6050 )",343771,"(+/- 7446 )",393321,"(+/- 9082 )",326178,"(+/- 5559 )",356179,"(+/- 5485 )",323977,"(+/- 6792 )",344714,"(+/- 6080 )"
Workers,"Employment Status",Employed,330798,"(+/- 11067 )",317623,"(+/- 8658 )",331816,"(+/- 11669 )",352458,"(+/- 12240 )",436257,"(+/- 11545 )",375841,"(+/- 9230 )",354730,"(+/- 12355 )",382084,"(+/- 9975 )",360269,"(+/- 8685 )",356872,"(+/- 7547 )",380825,"(+/- 8456 )",313123,"(+/- 6110 )",325649,"(+/- 7779 )",380643,"(+/- 8570 )",313764,"(+/- 5526 )",338357,"(+/- 5810 )",304780,"(+/- 6521 )",330758,"(+/- 6079 )"
Workers,"Employment Status",Unemployed,28629,"(+/- 3605 )",29494,"(+/- 3754 )",20252,"(+/- 2413 )",18039,"(+/- 2238 )",12350,"(+/- 1620 )",12184,"(+/- 2002 )",27171,"(+/- 3509 )",15031,"(+/- 2225 )",13625,"(+/- 1945 )",15343,"(+/- 2467 )",16447,"(+/- 2518 )",17315,"(+/- 2490 )",18122,"(+/- 2615 )",12678,"(+/- 2198 )",12414,"(+/- 1514 )",17822,"(+/- 2292 )",19197,"(+/- 2217 )",13956,"(+/- 1936 )"
Workers,"Employment Status","Armed Forces",138,"(+/- 157 )",269,"(+/- 274 )",0,"(+/- 195 )",44,"(+/- 76 )",96,"(+/- 117 )",80,"(+/- 129 )",606,"(+/- 599 )",267,"(+/- 241 )",632,"(+/- 522 )",10745,"(+/- 1564 )",223,"(+/- 193 )",5445,"(+/- 1539 )",437,"(+/- 287 )",71,"(+/- 111 )",587,"(+/- 474 )",304,"(+/- 270 )",984,"(+/- 664 )",569,"(+/- 349 )"
Workers,"Employment Status","Not in labor force",214121,"(+/- 6637 )",200991,"(+/- 7149 )",207986,"(+/- 9553 )",168543,"(+/- 7908 )",160552,"(+/- 5655 )",182597,"(+/- 6198 )",215506,"(+/- 9033 )",168667,"(+/- 7089 )",210398,"(+/- 8194 )",179311,"(+/- 5056 )",169186,"(+/- 6079 )",215000,"(+/- 5871 )",231867,"(+/- 6310 )",173266,"(+/- 7276 )",224896,"(+/- 5344 )",207392,"(+/- 5687 )",212672,"(+/- 5586 )",213619,"(+/- 5211 )"
Workers,"Employment Status","Civilian labor force",359427,"(+/- 12028 )",347117,"(+/- 8923 )",352068,"(+/- 12205 )",370497,"(+/- 12725 )",448607,"(+/- 11868 )",388025,"(+/- 9577 )",381901,"(+/- 12837 )",397115,"(+/- 10346 )",373894,"(+/- 8808 )",372215,"(+/- 7626 )",397272,"(+/- 8689 )",330438,"(+/- 6050 )",343771,"(+/- 7446 )",393321,"(+/- 9082 )",326178,"(+/- 5559 )",356179,"(+/- 5485 )",323977,"(+/- 6792 )",344714,"(+/- 6080 )"
Workers,"Employment Status","Unemployment Rate",8.0,"(+/- 0.9 )",8.5,"(+/- 1.0 )",5.8,"(+/- 0.6 )",4.9,"(+/- 0.6 )",2.8,"(+/- 0.3 )",3.1,"(+/- 0.5 )",7.1,"(+/- 0.9 )",3.8,"(+/- 0.5 )",3.6,"(+/- 0.5 )",4.1,"(+/- 0.7 )",4.1,"(+/- 0.6 )",5.2,"(+/- 0.7 )",5.3,"(+/- 0.8 )",3.2,"(+/- 0.5 )",3.8,"(+/- 0.5 )",5.0,"(+/- 0.6 )",5.9,"(+/- 0.7 )",4.0,"(+/- 0.6 )"
Workers,"Commuting to Work","Workers 16 years and over",324739,"(+/- 11136 )",310464,"(+/- 8434 )",325456,"(+/- 11506 )",347376,"(+/- 11896 )",429183,"(+/- 11300 )",371544,"(+/- 9250 )",348535,"(+/- 11885 )",376794,"(+/- 9827 )",355349,"(+/- 8475 )",362396,"(+/- 7807 )",373915,"(+/- 8416 )",313043,"(+/- 5795 )",320952,"(+/- 8002 )",375611,"(+/- 8266 )",310018,"(+/- 5402 )",331329,"(+/- 6103 )",300866,"(+/- 6402 )",327177,"(+/- 6186 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",223654,"(+/- 9444 )",214961,"(+/- 7920 )",240509,"(+/- 8915 )",201128,"(+/- 10804 )",220834,"(+/- 7941 )",284227,"(+/- 7974 )",157676,"(+/- 7565 )",297196,"(+/- 8863 )",200463,"(+/- 6445 )",277194,"(+/- 7098 )",296652,"(+/- 8353 )",258382,"(+/- 6555 )",255730,"(+/- 8018 )",302359,"(+/- 8185 )",258121,"(+/- 5725 )",279407,"(+/- 6803 )",248373,"(+/- 7159 )",276519,"(+/- 6254 )"
