cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE"
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",23,H,60,G
Business,"Paid employees for pay period including March 12",Utilities,1141,H,978,H
Business,"Paid employees for pay period including March 12",Construction,15892,G,11869,G
Business,"Paid employees for pay period including March 12",Manufacturing,28650,G,21873,G
Business,"Paid employees for pay period including March 12","Wholesale trade",11543,G,7032,H
Business,"Paid employees for pay period including March 12","Retail trade",47026,G,36698,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",9751,G,8019,G
Business,"Paid employees for pay period including March 12",Information,5903,H,4820,G
Business,"Paid employees for pay period including March 12","Finance and insurance",18483,H,8798,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",4694,G,2586,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",15198,G,7069,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",7197,H,2157,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",14245,G,7384,G
Business,"Paid employees for pay period including March 12","Educational services",12910,G,6840,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",65453,G,46926,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5107,G,2584,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",34244,G,21546,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",12342,G,6917,G
Business,"Paid employees for pay period including March 12","Industries not classified",43,H,24,J
Business,"Annual payroll ($1,000)","Total for all sectors",15154194,G,8678928,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",58745,H,113459,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",1811,H,3938,G
Business,"Annual payroll ($1,000)",Utilities,100207,H,81970,H
Business,"Annual payroll ($1,000)",Construction,892852,G,629702,G
Business,"Annual payroll ($1,000)",Manufacturing,1688745,H,1159120,G
Business,"Annual payroll ($1,000)","Wholesale trade",734076,G,345466,G
Business,"Annual payroll ($1,000)","Retail trade",1420224,G,1052253,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",409428,G,355640,G
Business,"Annual payroll ($1,000)",Information,339562,H,289516,H
Business,"Annual payroll ($1,000)","Finance and insurance",1536057,H,525776,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",228592,G,94094,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",1140071,G,404142,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",715181,J,144342,G
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",545408,G,239568,G
Business,"Annual payroll ($1,000)","Educational services",460797,G,204892,G
Business,"Annual payroll ($1,000)","Health care and social assistance",3408143,G,2284400,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",144061,G,59219,G
Business,"Annual payroll ($1,000)","Accommodation and food services",912183,G,481885,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",417001,G,209138,G
Business,"Annual payroll ($1,000)","Industries not classified",1050,G,408,H
Business,"Total Establishments","Total for all sectors",23927,X,17587,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",385,X,564,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",10,X,11,X
Business,"Total Establishments",Utilities,54,X,64,X
Business,"Total Establishments",Construction,2942,X,2307,X
Business,"Total Establishments",Manufacturing,918,X,753,X
Business,"Total Establishments","Wholesale trade",826,X,620,X
Business,"Total Establishments","Retail trade",3218,X,2868,X
Business,"Total Establishments","Transportation and warehousing",494,X,747,X
Business,"Total Establishments",Information,451,X,322,X
Business,"Total Establishments","Finance and insurance",1112,X,692,X
Business,"Total Establishments","Real estate and rental and leasing",1198,X,704,X
Business,"Total Establishments","Professional, scientific, and technical services",2429,X,1024,X
Business,"Total Establishments","Management of companies and enterprises",119,X,67,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",1366,X,905,X
Business,"Total Establishments","Educational services",323,X,191,X
Business,"Total Establishments","Health care and social assistance",2783,X,2055,X
Business,"Total Establishments","Arts, entertainment, and recreation",536,X,380,X
Business,"Total Establishments","Accommodation and food services",2590,X,1704,X
Business,"Total Establishments","Other services (except public administration)",2133,X,1586,X
Business,"Total Establishments","Industries not classified",40,X,23,X

"Source: 2019 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
