cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE"
People,Ancestry,Lithuanian,454,"(+/- 370 )",941,"(+/- 459 )",959,"(+/- 751 )",315,"(+/- 203 )",807,"(+/- 518 )",172,"(+/- 132 )",742,"(+/- 554 )",1047,"(+/- 516 )",707,"(+/- 314 )",2397,"(+/- 1954 )",2844,"(+/- 945 )",1285,"(+/- 647 )",1037,"(+/- 646 )",3261,"(+/- 914 )",207,"(+/- 179 )",1484,"(+/- 545 )"
People,Ancestry,Norwegian,2383,"(+/- 813 )",3083,"(+/- 1028 )",2510,"(+/- 941 )",2190,"(+/- 1082 )",2096,"(+/- 697 )",1979,"(+/- 1020 )",2476,"(+/- 1057 )",2777,"(+/- 960 )",3458,"(+/- 1348 )",3158,"(+/- 755 )",1873,"(+/- 842 )",4935,"(+/- 1284 )",2079,"(+/- 787 )",3127,"(+/- 1120 )",3933,"(+/- 1146 )",4178,"(+/- 1659 )"
People,Ancestry,Polish,10788,"(+/- 2120 )",10671,"(+/- 1815 )",12500,"(+/- 2630 )",19218,"(+/- 3078 )",39280,"(+/- 4792 )",19598,"(+/- 2879 )",29723,"(+/- 3603 )",9329,"(+/- 1635 )",47840,"(+/- 3650 )",14101,"(+/- 2676 )",30167,"(+/- 3745 )",27765,"(+/- 4371 )",28667,"(+/- 3902 )",52002,"(+/- 5030 )",16753,"(+/- 2440 )",51210,"(+/- 4894 )"
People,Ancestry,Portuguese,579,"(+/- 394 )",341,"(+/- 244 )",844,"(+/- 928 )",477,"(+/- 333 )",1044,"(+/- 628 )",750,"(+/- 725 )",1294,"(+/- 647 )",163,"(+/- 201 )",440,"(+/- 397 )",951,"(+/- 659 )",617,"(+/- 506 )",443,"(+/- 334 )",1319,"(+/- 898 )",563,"(+/- 446 )",574,"(+/- 594 )",146,"(+/- 177 )"
People,Ancestry,Russian,3327,"(+/- 1406 )",3123,"(+/- 882 )",3031,"(+/- 1094 )",2576,"(+/- 1141 )",1600,"(+/- 632 )",2638,"(+/- 1132 )",2323,"(+/- 935 )",1078,"(+/- 792 )",3836,"(+/- 1099 )",2211,"(+/- 899 )",9197,"(+/- 1953 )",5162,"(+/- 1477 )",5699,"(+/- 2227 )",9493,"(+/- 1997 )",2734,"(+/- 988 )",6137,"(+/- 1776 )"
People,Ancestry,Scotch-Irish,5829,"(+/- 1710 )",6629,"(+/- 1536 )",6717,"(+/- 2705 )",6382,"(+/- 1241 )",6012,"(+/- 1281 )",10239,"(+/- 2378 )",6770,"(+/- 1516 )",6290,"(+/- 2057 )",4557,"(+/- 1194 )",8264,"(+/- 1790 )",2912,"(+/- 952 )",9169,"(+/- 2005 )",7351,"(+/- 1388 )",4704,"(+/- 1133 )",10255,"(+/- 1919 )",8593,"(+/- 2078 )"
People,Ancestry,Scottish,9301,"(+/- 1785 )",17668,"(+/- 3002 )",10670,"(+/- 2199 )",14221,"(+/- 2411 )",12657,"(+/- 2120 )",15028,"(+/- 3069 )",11614,"(+/- 1894 )",14828,"(+/- 3600 )",9076,"(+/- 1732 )",13783,"(+/- 2103 )",5193,"(+/- 1410 )",19188,"(+/- 2855 )",10321,"(+/- 1486 )",12977,"(+/- 2488 )",18043,"(+/- 2649 )",15755,"(+/- 2757 )"
People,Ancestry,Slovak,1452,"(+/- 869 )",1113,"(+/- 517 )",2365,"(+/- 848 )",2561,"(+/- 781 )",2505,"(+/- 1119 )",6620,"(+/- 1521 )",10067,"(+/- 3681 )",748,"(+/- 410 )",10468,"(+/- 1323 )",1009,"(+/- 559 )",6913,"(+/- 1330 )",4520,"(+/- 1742 )",22225,"(+/- 2974 )",14613,"(+/- 2050 )",1938,"(+/- 822 )",17330,"(+/- 2101 )"
People,Ancestry,"Subsaharan African",10720,"(+/- 3552 )",3374,"(+/- 2062 )",36806,"(+/- 7113 )",2410,"(+/- 797 )",2006,"(+/- 994 )",5734,"(+/- 1215 )",9538,"(+/- 2488 )",9060,"(+/- 2575 )",12108,"(+/- 4439 )",9500,"(+/- 3088 )",10770,"(+/- 2983 )",6826,"(+/- 3389 )",6790,"(+/- 2289 )",2022,"(+/- 1254 )",6448,"(+/- 3388 )",3375,"(+/- 1776 )"
People,Ancestry,Swedish,3771,"(+/- 1834 )",3646,"(+/- 1862 )",4298,"(+/- 1230 )",3096,"(+/- 1005 )",4327,"(+/- 1391 )",3585,"(+/- 1026 )",5372,"(+/- 1909 )",2192,"(+/- 641 )",3099,"(+/- 947 )",3469,"(+/- 1400 )",2080,"(+/- 751 )",7063,"(+/- 1720 )",4081,"(+/- 1291 )",6562,"(+/- 1739 )",3363,"(+/- 897 )",4191,"(+/- 1131 )"
People,Ancestry,Swiss,2474,"(+/- 1167 )",1898,"(+/- 884 )",1565,"(+/- 657 )",3025,"(+/- 787 )",7128,"(+/- 1361 )",3762,"(+/- 1073 )",11331,"(+/- 2121 )",2156,"(+/- 808 )",2391,"(+/- 1497 )",2084,"(+/- 703 )",1231,"(+/- 523 )",4903,"(+/- 1661 )",4645,"(+/- 1286 )",4443,"(+/- 1606 )",2963,"(+/- 1176 )",12230,"(+/- 2302 )"
People,Ancestry,Ukrainian,1560,"(+/- 1053 )",1538,"(+/- 707 )",1883,"(+/- 1304 )",1357,"(+/- 846 )",1080,"(+/- 647 )",755,"(+/- 437 )",2195,"(+/- 881 )",535,"(+/- 378 )",7017,"(+/- 3002 )",639,"(+/- 399 )",3532,"(+/- 1213 )",1800,"(+/- 763 )",4544,"(+/- 1222 )",4552,"(+/- 1280 )",1289,"(+/- 690 )",7835,"(+/- 2357 )"
People,Ancestry,Welsh,5822,"(+/- 1520 )",5979,"(+/- 1611 )",8291,"(+/- 2456 )",8341,"(+/- 1831 )",8378,"(+/- 1730 )",10711,"(+/- 2091 )",8371,"(+/- 1745 )",4676,"(+/- 1457 )",5985,"(+/- 1797 )",7544,"(+/- 2020 )",3146,"(+/- 948 )",11223,"(+/- 2452 )",10785,"(+/- 2159 )",8365,"(+/- 2252 )",8874,"(+/- 1771 )",8100,"(+/- 1473 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",1102,"(+/- 1396 )",850,"(+/- 758 )",3392,"(+/- 2177 )",107,"(+/- 106 )",791,"(+/- 442 )",191,"(+/- 215 )",432,"(+/- 465 )",822,"(+/- 569 )",1415,"(+/- 817 )",1041,"(+/- 604 )",2813,"(+/- 1075 )",1169,"(+/- 1080 )",1262,"(+/- 826 )",423,"(+/- 414 )",1405,"(+/- 668 )",593,"(+/- 478 )"
People,"Veteran Status","Civilian population 18 years and over",573608,"(+/- 7142 )",564413,"(+/- 7172 )",614169,"(+/- 8091 )",556451,"(+/- 4723 )",560768,"(+/- 4548 )",551789,"(+/- 4831 )",557139,"(+/- 6587 )",563749,"(+/- 1668 )",536955,"(+/- 8005 )",562995,"(+/- 1201 )",541147,"(+/- 8443 )",607531,"(+/- 9355 )",572289,"(+/- 7663 )",562886,"(+/- 6939 )",607606,"(+/- 8232 )",569962,"(+/- 7571 )"
People,"Veteran Status","Civilian veterans",36529,"(+/- 3019 )",42853,"(+/- 2833 )",38321,"(+/- 4081 )",45022,"(+/- 2916 )",39416,"(+/- 2375 )",47472,"(+/- 3067 )",41099,"(+/- 3194 )",44333,"(+/- 3197 )",34240,"(+/- 2699 )",50271,"(+/- 3057 )",34669,"(+/- 2377 )",42566,"(+/- 3558 )",41717,"(+/- 2938 )",41683,"(+/- 2380 )",43038,"(+/- 2673 )",40003,"(+/- 2665 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",736815,"(+/- 8280 )",722577,"(+/- 9147 )",809219,"(+/- 9720 )",692253,"(+/- 5757 )",713309,"(+/- 6577 )",681814,"(+/- 6381 )",718747,"(+/- 9165 )",725807,"(+/- 2190 )",690974,"(+/- 11021 )",710856,"(+/- 2129 )",673653,"(+/- 10773 )",777456,"(+/- 10929 )",694114,"(+/- 9587 )",705830,"(+/- 8545 )",748465,"(+/- 10465 )",713062,"(+/- 10420 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",78677,"(+/- 4804 )",112821,"(+/- 4935 )",102284,"(+/- 7164 )",103084,"(+/- 5202 )",91984,"(+/- 4856 )",117434,"(+/- 5152 )",102057,"(+/- 5123 )",95666,"(+/- 4693 )",110240,"(+/- 6111 )",114600,"(+/- 5249 )",106816,"(+/- 5556 )",97594,"(+/- 5545 )",108217,"(+/- 5562 )",88752,"(+/- 5445 )",98564,"(+/- 5125 )",81177,"(+/- 4798 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",175762,"(+/- 4632 )",165392,"(+/- 4935 )",199279,"(+/- 5332 )",155313,"(+/- 3280 )",159766,"(+/- 3740 )",146185,"(+/- 3310 )",169061,"(+/- 5811 )",168605,"(+/- 1261 )",160113,"(+/- 6798 )",156338,"(+/- 1074 )",142592,"(+/- 5928 )",179819,"(+/- 4763 )",130848,"(+/- 4735 )",151192,"(+/- 4542 )",161382,"(+/- 4737 )",149591,"(+/- 5671 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",7876,"(+/- 1597 )",9450,"(+/- 1537 )",11931,"(+/- 2070 )",7703,"(+/- 1344 )",6656,"(+/- 1406 )",9102,"(+/- 1634 )",6891,"(+/- 1267 )",7807,"(+/- 1976 )",10612,"(+/- 2184 )",8826,"(+/- 1827 )",8892,"(+/- 2005 )",7971,"(+/- 1750 )",6779,"(+/- 1346 )",6928,"(+/- 1614 )",7281,"(+/- 1572 )",4867,"(+/- 1724 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",455853,"(+/- 6560 )",431462,"(+/- 6970 )",522669,"(+/- 7405 )",411040,"(+/- 4961 )",428625,"(+/- 4648 )",399043,"(+/- 5013 )",417148,"(+/- 6416 )",435768,"(+/- 1880 )",417849,"(+/- 7492 )",427816,"(+/- 1959 )",415829,"(+/- 7955 )",474866,"(+/- 8093 )",430010,"(+/- 7408 )",410855,"(+/- 6525 )",471914,"(+/- 8897 )",419404,"(+/- 8334 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",42614,"(+/- 4112 )",57802,"(+/- 3877 )",56078,"(+/- 5155 )",54859,"(+/- 3681 )",46518,"(+/- 3841 )",58448,"(+/- 3657 )",52240,"(+/- 3972 )",46084,"(+/- 3611 )",61146,"(+/- 4422 )",57945,"(+/- 3871 )",55345,"(+/- 4262 )",51063,"(+/- 3689 )",54324,"(+/- 3981 )",38489,"(+/- 3678 )",52038,"(+/- 3926 )",39056,"(+/- 3354 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",105200,"(+/- 2751 )",125723,"(+/- 2943 )",87271,"(+/- 3699 )",125900,"(+/- 2456 )",124918,"(+/- 2695 )",136586,"(+/- 2999 )",132538,"(+/- 3675 )",121434,"(+/- 1110 )",113012,"(+/- 4779 )",126702,"(+/- 1369 )",115232,"(+/- 3604 )",122771,"(+/- 3653 )",133256,"(+/- 3885 )",143783,"(+/- 3933 )",115169,"(+/- 3545 )",144067,"(+/- 4515 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",28187,"(+/- 2566 )",45569,"(+/- 2865 )",34275,"(+/- 2616 )",40522,"(+/- 2485 )",38810,"(+/- 2550 )",49884,"(+/- 2873 )",42926,"(+/- 2742 )",41775,"(+/- 2831 )",38482,"(+/- 2947 )",47829,"(+/- 2425 )",42579,"(+/- 2260 )",38560,"(+/- 3306 )",47114,"(+/- 3142 )",43335,"(+/- 3333 )",39245,"(+/- 2565 )",37254,"(+/- 2741 )"
People,"Residence 1 Year Ago","Population 1 year and over",742759,"(+/- 8133 )",721709,"(+/- 9039 )",799564,"(+/- 9787 )",704882,"(+/- 5166 )",713914,"(+/- 6523 )",692970,"(+/- 6304 )",717663,"(+/- 9003 )",725049,"(+/- 2129 )",687046,"(+/- 10912 )",714830,"(+/- 1667 )",676325,"(+/- 10523 )",779343,"(+/- 11156 )",697608,"(+/- 9047 )",708277,"(+/- 8510 )",761317,"(+/- 9200 )",712781,"(+/- 10351 )"
People,"Residence 1 Year Ago","Same house",610745,"(+/- 10888 )",628759,"(+/- 9895 )",628554,"(+/- 12593 )",621862,"(+/- 8392 )",618201,"(+/- 8548 )",616211,"(+/- 7960 )",635904,"(+/- 11536 )",617382,"(+/- 9202 )",582189,"(+/- 11894 )",584450,"(+/- 8084 )",575774,"(+/- 11502 )",665425,"(+/- 12326 )",602392,"(+/- 9148 )",631552,"(+/- 10358 )",639618,"(+/- 11622 )",632715,"(+/- 12358 )"
People,"Residence 1 Year Ago","Different house in the U.S.",127985,"(+/- 9485 )",91506,"(+/- 8801 )",165381,"(+/- 10027 )",81283,"(+/- 6769 )",93335,"(+/- 6948 )",76006,"(+/- 6528 )",81310,"(+/- 7523 )",103981,"(+/- 8960 )",101455,"(+/- 9371 )",127118,"(+/- 8002 )",97032,"(+/- 7358 )",109953,"(+/- 8424 )",91772,"(+/- 7827 )",73736,"(+/- 7334 )",120430,"(+/- 9593 )",78444,"(+/- 6657 )"
People,"Residence 1 Year Ago","Same county",74751,"(+/- 7435 )",53447,"(+/- 6092 )",127787,"(+/- 9774 )",49769,"(+/- 6149 )",53891,"(+/- 5662 )",48671,"(+/- 5369 )",51838,"(+/- 6610 )",63688,"(+/- 7882 )",72186,"(+/- 8933 )",77247,"(+/- 7450 )",69287,"(+/- 7338 )",61277,"(+/- 6542 )",55697,"(+/- 6968 )",40987,"(+/- 5058 )",65434,"(+/- 8221 )",51182,"(+/- 5297 )"
People,"Residence 1 Year Ago","Different county",53234,"(+/- 7134 )",38059,"(+/- 5413 )",37594,"(+/- 4789 )",31514,"(+/- 3443 )",39444,"(+/- 4072 )",27335,"(+/- 3593 )",29472,"(+/- 4342 )",40293,"(+/- 5626 )",29269,"(+/- 3623 )",49871,"(+/- 6429 )",27745,"(+/- 3798 )",48676,"(+/- 5491 )",36075,"(+/- 5512 )",32749,"(+/- 5163 )",54996,"(+/- 5703 )",27262,"(+/- 4329 )"
People,"Residence 1 Year Ago","Same state",30795,"(+/- 5428 )",23503,"(+/- 4128 )",23418,"(+/- 3818 )",23672,"(+/- 3059 )",27426,"(+/- 3379 )",18133,"(+/- 2995 )",22189,"(+/- 3921 )",25801,"(+/- 4461 )",16368,"(+/- 2840 )",31200,"(+/- 5006 )",13246,"(+/- 2397 )",35578,"(+/- 4494 )",24484,"(+/- 4462 )",19541,"(+/- 3015 )",44154,"(+/- 4998 )",18538,"(+/- 3647 )"
People,"Residence 1 Year Ago","Different state",22439,"(+/- 4661 )",14556,"(+/- 2841 )",14176,"(+/- 3068 )",7842,"(+/- 2418 )",12018,"(+/- 2440 )",9202,"(+/- 2554 )",7283,"(+/- 1920 )",14492,"(+/- 3109 )",12901,"(+/- 2626 )",18671,"(+/- 3483 )",14499,"(+/- 2754 )",13098,"(+/- 2833 )",11591,"(+/- 3032 )",13208,"(+/- 4286 )",10842,"(+/- 2033 )",8724,"(+/- 2404 )"
People,"Residence 1 Year Ago",Abroad,4029,"(+/- 1897 )",1444,"(+/- 626 )",5629,"(+/- 1837 )",1737,"(+/- 1131 )",2378,"(+/- 991 )",753,"(+/- 424 )",449,"(+/- 293 )",3686,"(+/- 1733 )",3402,"(+/- 1615 )",3262,"(+/- 1102 )",3519,"(+/- 1224 )",3965,"(+/- 1697 )",3444,"(+/- 1628 )",2989,"(+/- 1741 )",1269,"(+/- 651 )",1622,"(+/- 798 )"
Workers,"Employment Status","Population 16 years and over",592979,"(+/- 7160 )",582488,"(+/- 7253 )",631778,"(+/- 8323 )",576336,"(+/- 4992 )",581236,"(+/- 4682 )",568102,"(+/- 5357 )",576832,"(+/- 6731 )",585316,"(+/- 1982 )",553450,"(+/- 8575 )",584729,"(+/- 1566 )",558642,"(+/- 8349 )",627389,"(+/- 9690 )",590294,"(+/- 7779 )",581652,"(+/- 7250 )",628181,"(+/- 8350 )",588237,"(+/- 8056 )"
Workers,"Employment Status","In labor force",398094,"(+/- 6634 )",367295,"(+/- 8178 )",443867,"(+/- 8760 )",359354,"(+/- 5919 )",383710,"(+/- 6109 )",318122,"(+/- 5839 )",357441,"(+/- 7503 )",368355,"(+/- 5118 )",343404,"(+/- 7286 )",365571,"(+/- 5496 )",342265,"(+/- 7790 )",417539,"(+/- 9061 )",355068,"(+/- 7313 )",370254,"(+/- 7609 )",402128,"(+/- 8932 )",383926,"(+/- 8428 )"
Workers,"Employment Status","Civilian labor force",397904,"(+/- 6633 )",367075,"(+/- 8139 )",443641,"(+/- 8701 )",359146,"(+/- 5888 )",383134,"(+/- 6091 )",318067,"(+/- 5827 )",357030,"(+/- 7450 )",367128,"(+/- 5145 )",343144,"(+/- 7258 )",361423,"(+/- 5666 )",341847,"(+/- 7845 )",416840,"(+/- 9065 )",354111,"(+/- 7306 )",369534,"(+/- 7566 )",401691,"(+/- 8979 )",383882,"(+/- 8433 )"
Workers,"Employment Status",Employed,380083,"(+/- 6703 )",352217,"(+/- 7896 )",420334,"(+/- 8553 )",345995,"(+/- 5943 )",368717,"(+/- 6343 )",302868,"(+/- 5320 )",344394,"(+/- 7227 )",351301,"(+/- 5175 )",321521,"(+/- 7273 )",341556,"(+/- 6216 )",309392,"(+/- 8089 )",404182,"(+/- 8890 )",334666,"(+/- 7555 )",355618,"(+/- 7236 )",387992,"(+/- 8723 )",372107,"(+/- 8247 )"
Workers,"Employment Status",Unemployed,17821,"(+/- 2597 )",14858,"(+/- 2022 )",23307,"(+/- 2941 )",13151,"(+/- 1878 )",14417,"(+/- 2343 )",15199,"(+/- 1879 )",12636,"(+/- 2366 )",15827,"(+/- 2398 )",21623,"(+/- 2815 )",19867,"(+/- 2582 )",32455,"(+/- 3484 )",12658,"(+/- 2314 )",19445,"(+/- 2696 )",13916,"(+/- 2053 )",13699,"(+/- 1952 )",11775,"(+/- 1842 )"
Workers,"Employment Status","Armed Forces",190,"(+/- 292 )",220,"(+/- 220 )",226,"(+/- 263 )",208,"(+/- 181 )",576,"(+/- 456 )",55,"(+/- 98 )",411,"(+/- 369 )",1227,"(+/- 768 )",260,"(+/- 268 )",4148,"(+/- 989 )",418,"(+/- 369 )",699,"(+/- 397 )",957,"(+/- 720 )",720,"(+/- 602 )",437,"(+/- 345 )",44,"(+/- 75 )"
Workers,"Employment Status","Not in labor force",194885,"(+/- 6897 )",215193,"(+/- 6035 )",187911,"(+/- 7715 )",216982,"(+/- 5941 )",197526,"(+/- 5363 )",249980,"(+/- 5844 )",219391,"(+/- 6149 )",216961,"(+/- 5353 )",210046,"(+/- 7183 )",219158,"(+/- 5499 )",216377,"(+/- 6754 )",209850,"(+/- 6207 )",235226,"(+/- 7341 )",211398,"(+/- 6303 )",226053,"(+/- 6515 )",204311,"(+/- 5691 )"
Workers,"Employment Status","Civilian labor force",397904,"(+/- 6633 )",367075,"(+/- 8139 )",443641,"(+/- 8701 )",359146,"(+/- 5888 )",383134,"(+/- 6091 )",318067,"(+/- 5827 )",357030,"(+/- 7450 )",367128,"(+/- 5145 )",343144,"(+/- 7258 )",361423,"(+/- 5666 )",341847,"(+/- 7845 )",416840,"(+/- 9065 )",354111,"(+/- 7306 )",369534,"(+/- 7566 )",401691,"(+/- 8979 )",383882,"(+/- 8433 )"
Workers,"Employment Status","Unemployment Rate",4.5,"(+/- 0.6 )",4.0,"(+/- 0.5 )",5.3,"(+/- 0.6 )",3.7,"(+/- 0.5 )",3.8,"(+/- 0.6 )",4.8,"(+/- 0.6 )",3.5,"(+/- 0.6 )",4.3,"(+/- 0.6 )",6.3,"(+/- 0.8 )",5.5,"(+/- 0.7 )",9.5,"(+/- 1.0 )",3.0,"(+/- 0.5 )",5.5,"(+/- 0.8 )",3.8,"(+/- 0.5 )",3.4,"(+/- 0.5 )",3.1,"(+/- 0.5 )"
Workers,"Commuting to Work","Workers 16 years and over",374181,"(+/- 6703 )",346483,"(+/- 7922 )",411348,"(+/- 8648 )",338488,"(+/- 6163 )",360615,"(+/- 6459 )",297848,"(+/- 5651 )",339290,"(+/- 7025 )",346102,"(+/- 5151 )",315832,"(+/- 7411 )",334816,"(+/- 5964 )",302505,"(+/- 7802 )",396802,"(+/- 8901 )",326671,"(+/- 7403 )",350001,"(+/- 7164 )",381795,"(+/- 8816 )",366402,"(+/- 8146 )"
Workers,"Commuting to Work","Car, truck, or van -- drove alone",299786,"(+/- 7562 )",281621,"(+/- 7876 )",320003,"(+/- 8880 )",286918,"(+/- 6330 )",312884,"(+/- 7143 )",256619,"(+/- 5929 )",276922,"(+/- 6505 )",291413,"(+/- 5459 )",250572,"(+/- 7019 )",271889,"(+/- 6357 )",222815,"(+/- 7653 )",332776,"(+/- 8610 )",274446,"(+/- 7613 )",294166,"(+/- 7613 )",317533,"(+/- 8644 )",314035,"(+/- 8169 )"
Workers,"Commuting to Work","Car, truck, or van -- carpooled",30472,"(+/- 4092 )",33355,"(+/- 3757 )",40932,"(+/- 4405 )",27082,"(+/- 2861 )",25765,"(+/- 2522 )",21166,"(+/- 2258 )",28690,"(+/- 2996 )",28964,"(+/- 3727 )",33484,"(+/- 3554 )",28011,"(+/- 3626 )",26236,"(+/- 3150 )",24693,"(+/- 3564 )",25071,"(+/- 3241 )",24535,"(+/- 2979 )",27047,"(+/- 2900 )",22467,"(+/- 2638 )"
Workers,"Commuting to Work","Public transportation (excluding taxicab)",9529,"(+/- 2192 )",4657,"(+/- 1234 )",13196,"(+/- 2089 )",2045,"(+/- 723 )",823,"(+/- 464 )",908,"(+/- 482 )",2587,"(+/- 886 )",1523,"(+/- 619 )",7091,"(+/- 1354 )",6395,"(+/- 1397 )",20723,"(+/- 2828 )",3108,"(+/- 1059 )",4338,"(+/- 1440 )",1805,"(+/- 691 )",2895,"(+/- 992 )",2301,"(+/- 712 )"
Workers,"Commuting to Work",Walked,11848,"(+/- 1836 )",3781,"(+/- 1159 )",13548,"(+/- 2239 )",6789,"(+/- 1486 )",7358,"(+/- 1576 )",5826,"(+/- 1244 )",6945,"(+/- 1441 )",6265,"(+/- 1352 )",7927,"(+/- 1739 )",9362,"(+/- 2614 )",13004,"(+/- 2160 )",7665,"(+/- 1582 )",4917,"(+/- 1287 )",5181,"(+/- 1259 )",10922,"(+/- 2065 )",5897,"(+/- 1412 )"
Workers,"Commuting to Work","Other means",2549,"(+/- 686 )",2442,"(+/- 695 )",5929,"(+/- 1717 )",4657,"(+/- 1192 )",2231,"(+/- 682 )",1979,"(+/- 705 )",8778,"(+/- 1953 )",2197,"(+/- 590 )",5727,"(+/- 1753 )",4225,"(+/- 1035 )",6038,"(+/- 1488 )",3097,"(+/- 1094 )",5007,"(+/- 1321 )",4582,"(+/- 1678 )",5115,"(+/- 1546 )",4636,"(+/- 1237 )"
Workers,"Commuting to Work","Worked from home",19997,"(+/- 2814 )",20627,"(+/- 2353 )",17740,"(+/- 2315 )",10997,"(+/- 1521 )",11554,"(+/- 1421 )",11350,"(+/- 1930 )",15368,"(+/- 1858 )",15740,"(+/- 2075 )",11031,"(+/- 1266 )",14934,"(+/- 1992 )",13689,"(+/- 2069 )",25463,"(+/- 3006 )",12892,"(+/- 1784 )",19732,"(+/- 2237 )",18283,"(+/- 2458 )",17066,"(+/- 2203 )"
Workers,"Commuting to Work","Mean travel time to work (minutes)",25.1,"(+/- 0.6 )",26.6,"(+/- 0.6 )",23.1,"(+/- 0.6 )",22.6,"(+/- 0.6 )",21.0,"(+/- 0.5 )",26.4,"(+/- 0.9 )",24.7,"(+/- 0.6 )",24.7,"(+/- 0.6 )",22.7,"(+/- 0.5 )",22.3,"(+/- 0.6 )",23.9,"(+/- 0.6 )",26.0,"(+/- 0.7 )",23.4,"(+/- 0.6 )",25.2,"(+/- 0.6 )",26.3,"(+/- 0.7 )",24.7,"(+/- 0.6 )"
Workers,Occupation,"Civilian employed population 16 years and over",380083,"(+/- 6703 )",352217,"(+/- 7896 )",420334,"(+/- 8553 )",345995,"(+/- 5943 )",368717,"(+/- 6343 )",302868,"(+/- 5320 )",344394,"(+/- 7227 )",351301,"(+/- 5175 )",321521,"(+/- 7273 )",341556,"(+/- 6216 )",309392,"(+/- 8089 )",404182,"(+/- 8890 )",334666,"(+/- 7555 )",355618,"(+/- 7236 )",387992,"(+/- 8723 )",372107,"(+/- 8247 )"
Workers,Occupation,"Management, business, science, and arts occupations",170804,"(+/- 6144 )",150281,"(+/- 5996 )",153675,"(+/- 6242 )",106164,"(+/- 4219 )",131050,"(+/- 4415 )",97459,"(+/- 4516 )",112050,"(+/- 5640 )",119179,"(+/- 4675 )",102285,"(+/- 4875 )",136140,"(+/- 5317 )",118131,"(+/- 4571 )",194491,"(+/- 7928 )",102295,"(+/- 4420 )",147550,"(+/- 6020 )",172785,"(+/- 6916 )",156376,"(+/- 6062 )"
Workers,Occupation,"Service occupations",59715,"(+/- 3666 )",57549,"(+/- 4175 )",78256,"(+/- 5520 )",53735,"(+/- 3537 )",60823,"(+/- 4205 )",55894,"(+/- 3749 )",59385,"(+/- 4365 )",61590,"(+/- 3745 )",64462,"(+/- 4431 )",62178,"(+/- 4171 )",62592,"(+/- 4159 )",58671,"(+/- 3691 )",66195,"(+/- 4531 )",55018,"(+/- 4485 )",57522,"(+/- 4253 )",51807,"(+/- 3667 )"
Workers,Occupation,"Sales and office occupations",77205,"(+/- 4766 )",68875,"(+/- 4402 )",97042,"(+/- 6194 )",66993,"(+/- 3617 )",67061,"(+/- 3612 )",59639,"(+/- 3740 )",67132,"(+/- 3773 )",69837,"(+/- 4439 )",71373,"(+/- 4085 )",69505,"(+/- 3937 )",68421,"(+/- 4710 )",77010,"(+/- 3835 )",74476,"(+/- 4653 )",74275,"(+/- 4149 )",71130,"(+/- 3864 )",82543,"(+/- 5013 )"
Workers,Occupation,"Natural resources, construction, and maintenance occupations",22562,"(+/- 3291 )",24589,"(+/- 2851 )",23803,"(+/- 2758 )",33718,"(+/- 2588 )",30493,"(+/- 2748 )",33088,"(+/- 3010 )",32951,"(+/- 3130 )",28937,"(+/- 2623 )",24675,"(+/- 2690 )",21328,"(+/- 2220 )",14323,"(+/- 2261 )",26288,"(+/- 3292 )",25841,"(+/- 3155 )",27272,"(+/- 2456 )",32783,"(+/- 3007 )",28648,"(+/- 2789 )"
Workers,Occupation,"Production, transportation, and material moving occupations",49797,"(+/- 4367 )",50923,"(+/- 3673 )",67558,"(+/- 4426 )",85385,"(+/- 4020 )",79290,"(+/- 4576 )",56788,"(+/- 3502 )",72876,"(+/- 3827 )",71758,"(+/- 3858 )",58726,"(+/- 4364 )",52405,"(+/- 3511 )",45925,"(+/- 4057 )",47722,"(+/- 4690 )",65859,"(+/- 4062 )",51503,"(+/- 3339 )",53772,"(+/- 3746 )",52733,"(+/- 3777 )"
Workers,Industry,"Civilian employed population 16 years and over",380083,"(+/- 6703 )",352217,"(+/- 7896 )",420334,"(+/- 8553 )",345995,"(+/- 5943 )",368717,"(+/- 6343 )",302868,"(+/- 5320 )",344394,"(+/- 7227 )",351301,"(+/- 5175 )",321521,"(+/- 7273 )",341556,"(+/- 6216 )",309392,"(+/- 8089 )",404182,"(+/- 8890 )",334666,"(+/- 7555 )",355618,"(+/- 7236 )",387992,"(+/- 8723 )",372107,"(+/- 8247 )"
