cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",29.7,"(+/- 9.4 )",24.4,"(+/- 8.4 )",22.5,"(+/- 6.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",6.8,"(+/- 1.4 )",10.2,"(+/- 1.9 )",7.7,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",10.3,"(+/- 3.2 )",15.3,"(+/- 3.5 )",11.3,"(+/- 2.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",17.7,"(+/- 10.5 )",12.7,"(+/- 9.3 )",14.3,"(+/- 6.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",27.8,"(+/- 4.4 )",31.4,"(+/- 4.5 )",26.2,"(+/- 4.0 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",36.4,"(+/- 6.1 )",44.4,"(+/- 6.6 )",34.2,"(+/- 5.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",51.7,"(+/- 19.0 )",43.9,"(+/- 17.3 )",43.7,"(+/- 13.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",16.3,"(+/- 1.2 )",20.7,"(+/- 1.6 )",17.5,"(+/- 1.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",22.2,"(+/- 2.9 )",27.2,"(+/- 3.1 )",25.0,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",22.0,"(+/- 2.8 )",26.9,"(+/- 3.1 )",24.9,"(+/- 3.2 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",28.0,"(+/- 5.5 )",29.1,"(+/- 6.2 )",28.3,"(+/- 4.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",20.0,"(+/- 3.3 )",26.2,"(+/- 3.3 )",23.8,"(+/- 3.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",14.8,"(+/- 1.1 )",18.6,"(+/- 1.5 )",15.3,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",12.6,"(+/- 1.7 )",14.8,"(+/- 2.2 )",13.0,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",13.6,"(+/- 1.4 )",17.5,"(+/- 1.8 )",15.1,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",25.1,"(+/- 2.0 )",34.5,"(+/- 2.6 )",27.2,"(+/- 2.3 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",163642,"(+/- 6171 )",182731,"(+/- 5373 )",170122,"(+/- 4974 )"
Education,"School Enrollment","Nursery school, preschool",7869,"(+/- 1584 )",10153,"(+/- 1710 )",9649,"(+/- 1701 )"
Education,"School Enrollment",Kindergarten,5615,"(+/- 1362 )",9504,"(+/- 1652 )",9243,"(+/- 1742 )"
Education,"School Enrollment","Elementary school (grades 1-8)",68319,"(+/- 3429 )",80290,"(+/- 3296 )",75543,"(+/- 3175 )"
Education,"School Enrollment","High school (grades 9-12)",31824,"(+/- 2166 )",39567,"(+/- 3205 )",35566,"(+/- 2128 )"
Education,"School Enrollment","College or graduate school",50015,"(+/- 4436 )",43217,"(+/- 4162 )",40121,"(+/- 3351 )"
Education,"Educational Attainment","Population 25 years and over",485656,"(+/- 5498 )",459519,"(+/- 4172 )",480813,"(+/- 5060 )"
Education,"Educational Attainment","Less than 9th grade",19709,"(+/- 3051 )",41313,"(+/- 4579 )",21414,"(+/- 3144 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",36310,"(+/- 3841 )",45257,"(+/- 4608 )",37325,"(+/- 3349 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",116762,"(+/- 6615 )",131552,"(+/- 5784 )",128076,"(+/- 5316 )"
Education,"Educational Attainment","Some college, no degree",102995,"(+/- 5556 )",106528,"(+/- 5948 )",114618,"(+/- 5284 )"
Education,"Educational Attainment","Associate's degree",42498,"(+/- 3377 )",40622,"(+/- 4464 )",46411,"(+/- 3653 )"
Education,"Educational Attainment","Bachelor's degree",91116,"(+/- 5040 )",54742,"(+/- 4532 )",75423,"(+/- 4433 )"
Education,"Educational Attainment","Graduate or professional degree",76266,"(+/- 3736 )",39505,"(+/- 3342 )",57546,"(+/- 3760 )"
Education,"Educational Attainment","Percent high school graduate or higher",88.5,"(+/- 1.0 )",81.2,"(+/- 1.1 )",87.8,"(+/- 0.9 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",34.5,"(+/- 1.1 )",20.5,"(+/- 1.2 )",27.7,"(+/- 1.1 )"

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",276712,G,178896,G,178364,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",63,J,176,G,178,G
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",113,J,13716,G,3607,H
Business,"Paid employees for pay period including March 12",Utilities,1528,H,1237,G,1801,H
Business,"Paid employees for pay period including March 12",Construction,19524,G,13498,G,8933,G
Business,"Paid employees for pay period including March 12",Manufacturing,12954,G,7151,G,6462,G
Business,"Paid employees for pay period including March 12","Wholesale trade",11139,G,4298,G,3900,G
Business,"Paid employees for pay period including March 12","Retail trade",35842,G,28261,G,29211,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",6743,G,8351,G,4436,G
Business,"Paid employees for pay period including March 12",Information,6508,G,1997,H,2099,G
Business,"Paid employees for pay period including March 12","Finance and insurance",12068,G,5757,H,5339,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",4186,G,2661,G,2701,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",32400,H,7360,G,16928,H
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",5014,H,823,G,839,G
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",18659,G,8387,G,6836,G
Business,"Paid employees for pay period including March 12","Educational services",3801,G,1895,G,3042,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",52779,G,36852,G,36451,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",5181,G,2860,G,5061,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",36956,G,26669,G,31683,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",11245,G,6921,G,8841,G
Business,"Paid employees for pay period including March 12","Industries not classified",9,J,26,J,16,G
Business,"Annual payroll ($1,000)","Total for all sectors",12488309,G,7387585,G,7758404,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",1784,J,8665,G,7245,G
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",7115,H,1101485,G,293959,H
Business,"Annual payroll ($1,000)",Utilities,158825,H,91311,G,154215,H
Business,"Annual payroll ($1,000)",Construction,1041498,G,690070,G,433623,G
Business,"Annual payroll ($1,000)",Manufacturing,632591,G,393533,G,352986,G
Business,"Annual payroll ($1,000)","Wholesale trade",626555,G,255877,G,209335,G
Business,"Annual payroll ($1,000)","Retail trade",1059390,G,769250,G,830541,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",294917,G,458710,G,196846,G
Business,"Annual payroll ($1,000)",Information,348907,G,99391,H,94195,G
Business,"Annual payroll ($1,000)","Finance and insurance",821567,G,258571,G,373049,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",184931,G,131453,G,124750,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",2415091,H,403945,G,1514054,J
Business,"Annual payroll ($1,000)","Management of companies and enterprises",335020,H,53428,H,49076,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",583102,G,391078,H,332306,H
Business,"Annual payroll ($1,000)","Educational services",118019,G,73551,H,111503,G
Business,"Annual payroll ($1,000)","Health care and social assistance",2684756,G,1471502,G,1625876,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",105588,G,55939,G,158034,H
Business,"Annual payroll ($1,000)","Accommodation and food services",710080,G,486815,G,614868,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",358264,G,192476,G,281264,G
Business,"Annual payroll ($1,000)","Industries not classified",309,G,535,H,679,G
Business,"Total Establishments","Total for all sectors",16343,X,12887,X,14213,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",15,X,43,X,48,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",17,X,494,X,151,X
Business,"Total Establishments",Utilities,20,X,103,X,100,X
Business,"Total Establishments",Construction,1503,X,1383,X,1461,X
Business,"Total Establishments",Manufacturing,600,X,359,X,367,X
Business,"Total Establishments","Wholesale trade",790,X,422,X,433,X
Business,"Total Establishments","Retail trade",2047,X,1871,X,2287,X
Business,"Total Establishments","Transportation and warehousing",398,X,668,X,377,X
Business,"Total Establishments",Information,305,X,241,X,272,X
Business,"Total Establishments","Finance and insurance",993,X,796,X,771,X
Business,"Total Establishments","Real estate and rental and leasing",1010,X,669,X,716,X
Business,"Total Establishments","Professional, scientific, and technical services",2243,X,886,X,1422,X
Business,"Total Establishments","Management of companies and enterprises",106,X,48,X,58,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",760,X,527,X,599,X
Business,"Total Establishments","Educational services",252,X,118,X,212,X
Business,"Total Establishments","Health care and social assistance",1996,X,1491,X,1660,X
Business,"Total Establishments","Arts, entertainment, and recreation",247,X,175,X,310,X
Business,"Total Establishments","Accommodation and food services",1566,X,1362,X,1521,X
Business,"Total Establishments","Other services (except public administration)",1463,X,1216,X,1429,X
Business,"Total Establishments","Industries not classified",12,X,15,X,19,X

"Source: 2019 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
