cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Married couple families",2.1,"(+/- 0.6 )",3.2,"(+/- 0.8 )",3.3,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",2.7,"(+/- 1.1 )",4.0,"(+/- 1.2 )",2.9,"(+/- 0.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",2.0,"(+/- 2.4 )",3.3,"(+/- 2.7 )",3.0,"(+/- 1.7 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Families with female householder, no spouse present",23.0,"(+/- 5.2 )",19.2,"(+/- 3.5 )",26.6,"(+/- 4.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 18 years",30.1,"(+/- 6.5 )",25.5,"(+/- 4.6 )",34.0,"(+/- 5.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","With related children of the householder under 5 years only",41.6,"(+/- 22.0 )",35.5,"(+/- 15.3 )",43.1,"(+/- 13.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","All people",9.6,"(+/- 0.9 )",9.5,"(+/- 1.0 )",10.7,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Under 18 years",10.4,"(+/- 1.8 )",11.4,"(+/- 2.1 )",11.2,"(+/- 1.6 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 18 years",9.9,"(+/- 1.8 )",11.2,"(+/- 2.1 )",10.3,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder under 5 years",12.0,"(+/- 3.0 )",13.5,"(+/- 3.0 )",14.3,"(+/- 3.4 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Related children of the householder 5 to 17 years",9.1,"(+/- 1.8 )",10.3,"(+/- 2.4 )",8.8,"(+/- 1.5 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","18 years and over",9.3,"(+/- 0.9 )",8.8,"(+/- 0.7 )",10.6,"(+/- 0.9 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","65 years and over",6.9,"(+/- 1.2 )",8.3,"(+/- 1.5 )",8.9,"(+/- 1.3 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","People in families",5.7,"(+/- 0.9 )",7.0,"(+/- 1.1 )",6.8,"(+/- 0.8 )"
Socioeconomic,"Percentage of Families and People Whose Income in the Past 12 Months is Below the Poverty Level","Unrelated individuals 15 years and over",23.5,"(+/- 2.1 )",19.7,"(+/- 1.8 )",26.1,"(+/- 2.4 )"
Education,"School Enrollment","Population 3 years and over enrolled in school",180154,"(+/- 4972 )",187836,"(+/- 3741 )",139166,"(+/- 4251 )"
Education,"School Enrollment","Nursery school, preschool",11287,"(+/- 1635 )",12437,"(+/- 1581 )",9764,"(+/- 1203 )"
Education,"School Enrollment",Kindergarten,8710,"(+/- 1218 )",10015,"(+/- 1282 )",7935,"(+/- 1343 )"
Education,"School Enrollment","Elementary school (grades 1-8)",67916,"(+/- 2202 )",77352,"(+/- 2289 )",63066,"(+/- 2285 )"
Education,"School Enrollment","High school (grades 9-12)",33384,"(+/- 1833 )",39504,"(+/- 1880 )",30268,"(+/- 1592 )"
Education,"School Enrollment","College or graduate school",58857,"(+/- 4121 )",48528,"(+/- 2711 )",28133,"(+/- 2473 )"
Education,"Educational Attainment","Population 25 years and over",419704,"(+/- 3155 )",445090,"(+/- 1886 )",406976,"(+/- 3151 )"
Education,"Educational Attainment","Less than 9th grade",13180,"(+/- 1872 )",16077,"(+/- 2284 )",14370,"(+/- 2197 )"
Education,"Educational Attainment","9th to 12th grade, no diploma",17827,"(+/- 2097 )",17688,"(+/- 2127 )",22130,"(+/- 2048 )"
Education,"Educational Attainment","High school graduate (includes equivalency)",105070,"(+/- 4729 )",96041,"(+/- 4495 )",125278,"(+/- 3698 )"
Education,"Educational Attainment","Some college, no degree",90674,"(+/- 3238 )",92997,"(+/- 3996 )",96662,"(+/- 3464 )"
Education,"Educational Attainment","Associate's degree",54501,"(+/- 3355 )",34537,"(+/- 2452 )",52151,"(+/- 2904 )"
Education,"Educational Attainment","Bachelor's degree",90297,"(+/- 3928 )",120807,"(+/- 5321 )",66055,"(+/- 2664 )"
Education,"Educational Attainment","Graduate or professional degree",48155,"(+/- 3195 )",66943,"(+/- 3894 )",30330,"(+/- 2159 )"
Education,"Educational Attainment","Percent high school graduate or higher",92.6,"(+/- 0.7 )",92.4,"(+/- 0.7 )",91.0,"(+/- 0.7 )"
Education,"Educational Attainment","Percent bachelor's degree or higher",33.0,"(+/- 1.1 )",42.2,"(+/- 1.3 )",23.7,"(+/- 0.8 )"

"Source: 2019 American Community Survey 1-Year Estimates"
"Estimates in the People, Workers, Housing, Socioeconomic, and Education tabs are from the American Community Survey (ACS). The ACS is an annual household survey developed by the U.S. Census Bureau to replace the long form of the decennial census program. Each year, the ACS samples about 3.5 million household addresses to produce nearly 11 billion estimates covering demographic, social, economic, and housing characteristics."
"Except where noted, 'race' refers to people reporting only one race.  'Hispanic' refers to an ethnic category;  Hispanics may be of any race."
"An '**' entry in the margin of error column indicates that either no sample observations or too few sample observations were available to compute a standard error and thus the margin of error. A statistical test is not appropriate."
"An '-' entry in the estimate column indicates that either no sample observations or too few sample observations were available to compute an estimate, or a ratio of medians cannot be calculated because one or both of the median estimates falls in the lowest interval or upper interval of an open-ended distribution."
"An '-' following a median estimate means the median falls in the lowest interval of an open-ended distribution."
"An '+' following a median estimate means the median falls in the upper interval of an open-ended distribution."
"An '***' entry in the margin of error column indicates that the median falls in the lowest interval or upper interval of an open-ended distribution. A statistical test is not appropriate."
"An '*****' entry in the margin of error column indicates that the estimate is controlled. A statistical test for sampling variability is not appropriate."
"An 'N' entry in the estimate and margin of error columns indicates that data for this geographic area cannot be displayed because the number of sample cases is too small."
"An '(X)' means that the estimate is not applicable or not available"
"If calculating a percentage, use the total population line within the section as the denominator. Do not use total population lines from other sections since these may have different universes."

Topic,Subject,Title,"District 01 Estimate","District 01 Flag","District 02 Estimate","District 02 Flag","District 03 Estimate","District 03 Flag"
Business,"Paid employees for pay period including March 12","Total for all sectors",251065,G,366092,G,207289,G
Business,"Paid employees for pay period including March 12","Agriculture, forestry, fishing and hunting",261,H,60,J,1107,H
Business,"Paid employees for pay period including March 12","Mining, quarrying, and oil and gas extraction",584,H,55,J,414,G
Business,"Paid employees for pay period including March 12",Utilities,158,J,295,J,544,J
Business,"Paid employees for pay period including March 12",Construction,14862,G,23118,G,10584,G
Business,"Paid employees for pay period including March 12",Manufacturing,35290,G,25202,G,39318,G
Business,"Paid employees for pay period including March 12","Wholesale trade",9558,G,17055,G,12972,G
Business,"Paid employees for pay period including March 12","Retail trade",34927,G,42512,G,32329,G
Business,"Paid employees for pay period including March 12","Transportation and warehousing",8564,G,12950,G,11505,G
Business,"Paid employees for pay period including March 12",Information,6089,H,11618,G,2790,H
Business,"Paid employees for pay period including March 12","Finance and insurance",18295,G,41377,G,9593,G
Business,"Paid employees for pay period including March 12","Real estate and rental and leasing",3171,G,7041,G,1704,G
Business,"Paid employees for pay period including March 12","Professional, scientific, and technical services",13443,G,20320,G,5329,G
Business,"Paid employees for pay period including March 12","Management of companies and enterprises",2359,H,16081,G,2314,H
Business,"Paid employees for pay period including March 12","Administrative and support and waste management and remediation services",11935,G,23609,G,6174,H
Business,"Paid employees for pay period including March 12","Educational services",6917,G,9530,H,2522,G
Business,"Paid employees for pay period including March 12","Health care and social assistance",42319,G,58562,G,35770,G
Business,"Paid employees for pay period including March 12","Arts, entertainment, and recreation",4889,G,7707,G,2723,G
Business,"Paid employees for pay period including March 12","Accommodation and food services",25370,G,33944,G,19927,G
Business,"Paid employees for pay period including March 12","Other services (except public administration)",12042,G,15046,G,9587,G
Business,"Paid employees for pay period including March 12","Industries not classified",32,J,10,J,83,J
Business,"Annual payroll ($1,000)","Total for all sectors",10701798,G,19042567,G,8061593,G
Business,"Annual payroll ($1,000)","Agriculture, forestry, fishing and hunting",12186,H,3740,H,59024,H
Business,"Annual payroll ($1,000)","Mining, quarrying, and oil and gas extraction",38012,H,2597,J,23735,G
Business,"Annual payroll ($1,000)",Utilities,13249,H,83602,J,41498,J
Business,"Annual payroll ($1,000)",Construction,816336,G,1492591,G,536553,G
Business,"Annual payroll ($1,000)",Manufacturing,1866903,G,1320593,G,1873971,G
Business,"Annual payroll ($1,000)","Wholesale trade",565743,G,1185237,G,677518,G
Business,"Annual payroll ($1,000)","Retail trade",943254,G,1219001,G,840600,G
Business,"Annual payroll ($1,000)","Transportation and warehousing",433959,G,627833,G,487448,G
Business,"Annual payroll ($1,000)",Information,350239,H,891773,G,107223,H
Business,"Annual payroll ($1,000)","Finance and insurance",1181312,G,3456699,G,522764,G
Business,"Annual payroll ($1,000)","Real estate and rental and leasing",132718,G,362525,G,60261,G
Business,"Annual payroll ($1,000)","Professional, scientific, and technical services",823612,G,1473420,G,229309,G
Business,"Annual payroll ($1,000)","Management of companies and enterprises",191646,H,1217335,G,169836,H
Business,"Annual payroll ($1,000)","Administrative and support and waste management and remediation services",388809,G,857025,G,210028,H
Business,"Annual payroll ($1,000)","Educational services",177919,G,334916,H,57274,G
Business,"Annual payroll ($1,000)","Health care and social assistance",1948732,G,3266411,G,1583630,G
Business,"Annual payroll ($1,000)","Arts, entertainment, and recreation",76407,G,150967,G,41184,G
Business,"Annual payroll ($1,000)","Accommodation and food services",380512,G,611416,G,296614,G
Business,"Annual payroll ($1,000)","Other services (except public administration)",359644,G,484368,G,242092,G
Business,"Annual payroll ($1,000)","Industries not classified",606,G,518,H,1031,G
Business,"Total Establishments","Total for all sectors",17142,X,18692,X,18739,X
Business,"Total Establishments","Agriculture, forestry, fishing and hunting",46,X,17,X,130,X
Business,"Total Establishments","Mining, quarrying, and oil and gas extraction",23,X,7,X,85,X
Business,"Total Establishments",Utilities,21,X,11,X,89,X
Business,"Total Establishments",Construction,2247,X,2190,X,2073,X
Business,"Total Establishments",Manufacturing,575,X,470,X,706,X
Business,"Total Establishments","Wholesale trade",803,X,994,X,1244,X
Business,"Total Establishments","Retail trade",2109,X,1996,X,2923,X
Business,"Total Establishments","Transportation and warehousing",749,X,542,X,1182,X
Business,"Total Establishments",Information,259,X,322,X,351,X
Business,"Total Establishments","Finance and insurance",1293,X,1529,X,1506,X
Business,"Total Establishments","Real estate and rental and leasing",768,X,1079,X,552,X
Business,"Total Establishments","Professional, scientific, and technical services",1471,X,1997,X,1130,X
Business,"Total Establishments","Management of companies and enterprises",88,X,189,X,62,X
Business,"Total Establishments","Administrative and support and waste management and remediation services",917,X,1192,X,631,X
Business,"Total Establishments","Educational services",207,X,245,X,132,X
Business,"Total Establishments","Health care and social assistance",1931,X,2205,X,1829,X
Business,"Total Establishments","Arts, entertainment, and recreation",297,X,351,X,318,X
Business,"Total Establishments","Accommodation and food services",1407,X,1627,X,1576,X
Business,"Total Establishments","Other services (except public administration)",1903,X,1715,X,2174,X
Business,"Total Establishments","Industries not classified",28,X,14,X,46,X

"Source: 2019 County Business Patterns for Congressional Districts"
"1. CBP data includes the number of establishments, employment during the week of March 12, and annual payroll. CBP basic data are extracted from the Business Register (BR), a database of all known single and multi-establishment employer companies maintained and updated by the U.S. Census Bureau. Primary causes of differences between CBP employment estimates and ACS estimates: CBP does not cover the self-employed, public employment, and most agricultural employment; CBP estimates are not based on a sample survey; they represent business location as opposed to workers' residence in the district; use the week of March 12 as a reference period; and use a business source to determine industry."
"2. Industries not classified - Industry could not be determined."
"3. Statewide - County Business Patterns data includes employers without a fixed location within a state (or of unknown county location), these are included under a 'statewide' classification. Statewide cases are not included in any particular congressional district (though they would be included in at-large districts). This incomplete detail causes only a slight understatement of a district's total estimates."
"4. Disclosure and Quality Indicator Flag Definitions:"
"G Cell value changed by less than 2 percent by the application of noise"
"H Cell value changed by at least 2 percent but less than 5 percent by the application of noise"
"J Cell value changed by 5 percent or more by the application of noise"
"N Not available or not comparable"
"S Cell value withheld because it did not meet publication standards"
"X Not applicable"
