cdTopic,Subject,Title,"District 01 Estimate","District 01 MOE","District 02 Estimate","District 02 MOE","District 03 Estimate","District 03 MOE","District 04 Estimate","District 04 MOE","District 05 Estimate","District 05 MOE","District 06 Estimate","District 06 MOE","District 07 Estimate","District 07 MOE","District 08 Estimate","District 08 MOE","District 09 Estimate","District 09 MOE","District 10 Estimate","District 10 MOE","District 11 Estimate","District 11 MOE","District 12 Estimate","District 12 MOE","District 13 Estimate","District 13 MOE","District 14 Estimate","District 14 MOE","District 15 Estimate","District 15 MOE","District 16 Estimate","District 16 MOE","District 17 Estimate","District 17 MOE","District 18 Estimate","District 18 MOE","District 19 Estimate","District 19 MOE","District 20 Estimate","District 20 MOE","District 21 Estimate","District 21 MOE","District 22 Estimate","District 22 MOE","District 23 Estimate","District 23 MOE","District 24 Estimate","District 24 MOE","District 25 Estimate","District 25 MOE","District 26 Estimate","District 26 MOE","District 27 Estimate","District 27 MOE","District 28 Estimate","District 28 MOE","District 29 Estimate","District 29 MOE","District 30 Estimate","District 30 MOE","District 31 Estimate","District 31 MOE","District 32 Estimate","District 32 MOE","District 33 Estimate","District 33 MOE","District 34 Estimate","District 34 MOE","District 35 Estimate","District 35 MOE","District 36 Estimate","District 36 MOE"
People,Ancestry,"Subsaharan African",9657,"(+/- 4041 )",8019,"(+/- 4164 )",17313,"(+/- 3801 )",6935,"(+/- 5076 )",19965,"(+/- 5588 )",24512,"(+/- 7693 )",20430,"(+/- 5325 )",13725,"(+/- 4680 )",50636,"(+/- 9990 )",17108,"(+/- 4485 )",5192,"(+/- 2342 )",10655,"(+/- 4260 )",7002,"(+/- 2084 )",6692,"(+/- 2790 )",2413,"(+/- 1368 )",2245,"(+/- 1175 )",14980,"(+/- 4420 )",18716,"(+/- 5051 )",7209,"(+/- 2462 )",7849,"(+/- 2930 )",4493,"(+/- 1736 )",27956,"(+/- 9757 )",3671,"(+/- 1583 )",21068,"(+/- 5294 )",5226,"(+/- 2645 )",11627,"(+/- 2919 )",6664,"(+/- 2156 )",1746,"(+/- 1248 )",6166,"(+/- 2748 )",17183,"(+/- 4577 )",8764,"(+/- 3128 )",29265,"(+/- 7569 )",14194,"(+/- 4429 )",2707,"(+/- 2295 )",8219,"(+/- 2896 )",6128,"(+/- 2338 )"
People,Ancestry,Swedish,2276,"(+/- 690 )",4011,"(+/- 1425 )",9618,"(+/- 2275 )",4373,"(+/- 1060 )",2186,"(+/- 837 )",4054,"(+/- 1309 )",3854,"(+/- 980 )",6829,"(+/- 3977 )",492,"(+/- 310 )",4660,"(+/- 1776 )",2961,"(+/- 1231 )",4786,"(+/- 1130 )",2186,"(+/- 896 )",4625,"(+/- 2223 )",2347,"(+/- 1778 )",822,"(+/- 958 )",3597,"(+/- 1088 )",1843,"(+/- 563 )",2657,"(+/- 1029 )",3328,"(+/- 944 )",6417,"(+/- 1648 )",4278,"(+/- 1877 )",3441,"(+/- 1426 )",6997,"(+/- 2357 )",5844,"(+/- 1406 )",7691,"(+/- 1781 )",3458,"(+/- 982 )",1994,"(+/- 1379 )",852,"(+/- 653 )",1168,"(+/- 538 )",7031,"(+/- 1710 )",6852,"(+/- 2220 )",625,"(+/- 285 )",1119,"(+/- 464 )",2803,"(+/- 935 )",2273,"(+/- 768 )"
People,Ancestry,Swiss,288,"(+/- 294 )",843,"(+/- 584 )",1320,"(+/- 642 )",931,"(+/- 568 )",1069,"(+/- 607 )",778,"(+/- 468 )",2006,"(+/- 989 )",1831,"(+/- 1577 )",449,"(+/- 522 )",2101,"(+/- 1153 )",346,"(+/- 232 )",870,"(+/- 611 )",1723,"(+/- 788 )",839,"(+/- 663 )",347,"(+/- 367 )",451,"(+/- 388 )",438,"(+/- 305 )",491,"(+/- 347 )",846,"(+/- 622 )",422,"(+/- 352 )",1398,"(+/- 668 )",1538,"(+/- 979 )",338,"(+/- 307 )",1390,"(+/- 711 )",1434,"(+/- 720 )",2103,"(+/- 1398 )",1438,"(+/- 1121 )",416,"(+/- 370 )",191,"(+/- 231 )",311,"(+/- 243 )",1915,"(+/- 867 )",1632,"(+/- 541 )",113,"(+/- 131 )",59,"(+/- 97 )",427,"(+/- 320 )",371,"(+/- 309 )"
People,Ancestry,Ukrainian,293,"(+/- 321 )",1419,"(+/- 843 )",2381,"(+/- 1124 )",326,"(+/- 289 )",466,"(+/- 404 )",1058,"(+/- 691 )",815,"(+/- 545 )",841,"(+/- 504 )",238,"(+/- 257 )",1160,"(+/- 713 )",320,"(+/- 252 )",241,"(+/- 166 )",198,"(+/- 197 )",121,"(+/- 120 )",120,"(+/- 116 )",343,"(+/- 436 )",1167,"(+/- 830 )",437,"(+/- 296 )",574,"(+/- 403 )",1176,"(+/- 912 )",1233,"(+/- 743 )",564,"(+/- 489 )",195,"(+/- 214 )",995,"(+/- 470 )",1229,"(+/- 981 )",566,"(+/- 315 )",912,"(+/- 842 )",125,"(+/- 155 )",39,"(+/- 63 )",0,"(+/- 234 )",1203,"(+/- 731 )",1188,"(+/- 783 )",0,"(+/- 234 )",97,"(+/- 186 )",686,"(+/- 439 )",1053,"(+/- 961 )"
People,Ancestry,Welsh,3181,"(+/- 936 )",3930,"(+/- 1303 )",5601,"(+/- 1600 )",4569,"(+/- 1119 )",3566,"(+/- 1181 )",5415,"(+/- 1323 )",2894,"(+/- 980 )",7407,"(+/- 2729 )",562,"(+/- 349 )",6911,"(+/- 2186 )",3025,"(+/- 1192 )",5989,"(+/- 2202 )",2945,"(+/- 963 )",2776,"(+/- 1289 )",1606,"(+/- 760 )",1225,"(+/- 639 )",4479,"(+/- 1338 )",1739,"(+/- 936 )",2620,"(+/- 823 )",1938,"(+/- 727 )",6879,"(+/- 1384 )",2742,"(+/- 1385 )",2423,"(+/- 904 )",6071,"(+/- 1934 )",5361,"(+/- 1355 )",6762,"(+/- 1819 )",3088,"(+/- 1060 )",1773,"(+/- 872 )",656,"(+/- 347 )",1850,"(+/- 960 )",4119,"(+/- 1317 )",4664,"(+/- 1196 )",838,"(+/- 498 )",804,"(+/- 519 )",2417,"(+/- 1033 )",3995,"(+/- 2604 )"
People,Ancestry,"West Indian (excluding Hispanic origin groups)",195,"(+/- 204 )",1775,"(+/- 932 )",2672,"(+/- 1190 )",846,"(+/- 505 )",1336,"(+/- 825 )",3350,"(+/- 1678 )",7832,"(+/- 3430 )",4819,"(+/- 3597 )",7553,"(+/- 3019 )",5080,"(+/- 3823 )",1775,"(+/- 866 )",1659,"(+/- 1335 )",909,"(+/- 500 )",3980,"(+/- 3349 )",2002,"(+/- 1917 )",1990,"(+/- 1897 )",914,"(+/- 808 )",3896,"(+/- 1545 )",2861,"(+/- 1559 )",2680,"(+/- 1301 )",3279,"(+/- 2359 )",2042,"(+/- 1457 )",1018,"(+/- 649 )",1801,"(+/- 751 )",4501,"(+/- 2096 )",2765,"(+/- 1960 )",744,"(+/- 651 )",419,"(+/- 420 )",1285,"(+/- 909 )",5389,"(+/- 1917 )",6467,"(+/- 3039 )",2975,"(+/- 1625 )",719,"(+/- 637 )",257,"(+/- 284 )",4519,"(+/- 2599 )",2937,"(+/- 1934 )"
People,"Veteran Status","Civilian population 18 years and over",550662,"(+/- 3057 )",601726,"(+/- 21039 )",681452,"(+/- 6598 )",590727,"(+/- 5567 )",571404,"(+/- 8430 )",604779,"(+/- 10092 )",580118,"(+/- 19972 )",672348,"(+/- 9121 )",574391,"(+/- 22097 )",686910,"(+/- 17796 )",584592,"(+/- 4359 )",633585,"(+/- 11930 )",529503,"(+/- 4357 )",577691,"(+/- 6136 )",564086,"(+/- 10187 )",528399,"(+/- 5740 )",610022,"(+/- 9186 )",612822,"(+/- 21623 )",546834,"(+/- 4670 )",608758,"(+/- 17712 )",668506,"(+/- 15833 )",696780,"(+/- 15026 )",563137,"(+/- 14244 )",645787,"(+/- 10119 )",617769,"(+/- 13913 )",684816,"(+/- 8277 )",559271,"(+/- 5198 )",534709,"(+/- 10707 )",536433,"(+/- 19080 )",578658,"(+/- 14112 )",658362,"(+/- 4924 )",586917,"(+/- 11879 )",523272,"(+/- 15279 )",507597,"(+/- 8408 )",650590,"(+/- 18781 )",567468,"(+/- 9219 )"
People,"Veteran Status","Civilian veterans",39855,"(+/- 2755 )",32267,"(+/- 2787 )",35005,"(+/- 2926 )",53102,"(+/- 3761 )",36338,"(+/- 3318 )",45545,"(+/- 3775 )",24370,"(+/- 3381 )",46795,"(+/- 4573 )",21774,"(+/- 2825 )",39918,"(+/- 3376 )",43067,"(+/- 3782 )",47737,"(+/- 4181 )",45088,"(+/- 3417 )",41660,"(+/- 3644 )",28113,"(+/- 2532 )",40461,"(+/- 3497 )",39380,"(+/- 3700 )",26848,"(+/- 3228 )",37428,"(+/- 2850 )",49198,"(+/- 4384 )",59443,"(+/- 4150 )",33883,"(+/- 3815 )",44254,"(+/- 3726 )",31732,"(+/- 3195 )",54247,"(+/- 4074 )",48382,"(+/- 3757 )",48475,"(+/- 4238 )",30354,"(+/- 2578 )",12454,"(+/- 2345 )",28611,"(+/- 2935 )",80605,"(+/- 5296 )",28925,"(+/- 2937 )",17437,"(+/- 2776 )",22645,"(+/- 2315 )",44994,"(+/- 4272 )",44669,"(+/- 3675 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Total civilian noninstitutionalized population",711740,"(+/- 3927 )",783347,"(+/- 29814 )",910155,"(+/- 8640 )",768181,"(+/- 8467 )",736167,"(+/- 12092 )",813107,"(+/- 14489 )",761386,"(+/- 28681 )",872503,"(+/- 11986 )",767321,"(+/- 33145 )",918149,"(+/- 26739 )",773509,"(+/- 5357 )",832088,"(+/- 18971 )",683896,"(+/- 6551 )",732093,"(+/- 10458 )",787398,"(+/- 14563 )",722492,"(+/- 7614 )",771343,"(+/- 11205 )",815019,"(+/- 30497 )",699230,"(+/- 6933 )",820845,"(+/- 23004 )",820918,"(+/- 21250 )",954274,"(+/- 21340 )",758779,"(+/- 18453 )",829634,"(+/- 13578 )",790971,"(+/- 17230 )",916954,"(+/- 12898 )",733889,"(+/- 6929 )",764631,"(+/- 16401 )",782798,"(+/- 26773 )",781929,"(+/- 21873 )",891556,"(+/- 6931 )",775992,"(+/- 15624 )",747665,"(+/- 21176 )",697632,"(+/- 12597 )",845388,"(+/- 24107 )",741449,"(+/- 12984 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",111788,"(+/- 6175 )",78289,"(+/- 6534 )",61963,"(+/- 4510 )",112806,"(+/- 4817 )",93111,"(+/- 5689 )",94756,"(+/- 5886 )",61788,"(+/- 5305 )",96826,"(+/- 7184 )",73845,"(+/- 6653 )",95283,"(+/- 7243 )",105793,"(+/- 6731 )",86449,"(+/- 5117 )",96610,"(+/- 4680 )",92701,"(+/- 5611 )",94364,"(+/- 6095 )",98391,"(+/- 6095 )",93284,"(+/- 6327 )",89604,"(+/- 7387 )",98486,"(+/- 4990 )",116239,"(+/- 7973 )",98636,"(+/- 7285 )",60670,"(+/- 5477 )",106051,"(+/- 7338 )",65558,"(+/- 5266 )",86889,"(+/- 4945 )",75670,"(+/- 5047 )",104299,"(+/- 4740 )",104434,"(+/- 6361 )",68598,"(+/- 4487 )",97125,"(+/- 6608 )",104439,"(+/- 6001 )",65087,"(+/- 5466 )",70798,"(+/- 5054 )",91612,"(+/- 4831 )",118348,"(+/- 9770 )",105047,"(+/- 5717 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","Under 18 years",174815,"(+/- 1702 )",185310,"(+/- 11734 )",231356,"(+/- 4384 )",191585,"(+/- 4303 )",188004,"(+/- 7913 )",211788,"(+/- 8605 )",182144,"(+/- 12529 )",223022,"(+/- 6278 )",194345,"(+/- 15338 )",237298,"(+/- 14039 )",201701,"(+/- 3399 )",208561,"(+/- 10939 )",177040,"(+/- 3009 )",181502,"(+/- 5410 )",238709,"(+/- 7617 )",200293,"(+/- 3743 )",174003,"(+/- 4805 )",213797,"(+/- 13736 )",176888,"(+/- 3712 )",214816,"(+/- 11536 )",156727,"(+/- 9511 )",263178,"(+/- 8962 )",215030,"(+/- 9231 )",185933,"(+/- 11120 )",190148,"(+/- 6728 )",235474,"(+/- 6742 )",183058,"(+/- 3146 )",235016,"(+/- 9079 )",247256,"(+/- 11593 )",213243,"(+/- 12277 )",238246,"(+/- 3037 )",190895,"(+/- 8398 )",227474,"(+/- 12081 )",203546,"(+/- 6870 )",203846,"(+/- 11682 )",189992,"(+/- 8793 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",12168,"(+/- 2345 )",5085,"(+/- 1533 )",5624,"(+/- 1325 )",8509,"(+/- 1537 )",8209,"(+/- 1933 )",9871,"(+/- 2091 )",4922,"(+/- 1658 )",10478,"(+/- 2525 )",6467,"(+/- 2185 )",12063,"(+/- 3264 )",10232,"(+/- 2026 )",6193,"(+/- 1802 )",7403,"(+/- 1352 )",8246,"(+/- 2063 )",11552,"(+/- 2742 )",10865,"(+/- 2442 )",9816,"(+/- 2403 )",10819,"(+/- 2771 )",5664,"(+/- 1166 )",12284,"(+/- 2327 )",7245,"(+/- 1641 )",5469,"(+/- 1596 )",11493,"(+/- 2485 )",4427,"(+/- 1339 )",5830,"(+/- 1114 )",6884,"(+/- 1593 )",10188,"(+/- 2443 )",13759,"(+/- 2795 )",10186,"(+/- 1887 )",8439,"(+/- 2118 )",11603,"(+/- 2530 )",7457,"(+/- 1985 )",6036,"(+/- 1394 )",9914,"(+/- 2043 )",12461,"(+/- 2949 )",9473,"(+/- 1997 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","18 to 64 years",412336,"(+/- 3611 )",498521,"(+/- 20465 )",574058,"(+/- 6715 )",449839,"(+/- 6137 )",439896,"(+/- 8008 )",502545,"(+/- 10118 )",489949,"(+/- 19179 )",523926,"(+/- 7567 )",488200,"(+/- 21331 )",569973,"(+/- 16054 )",452364,"(+/- 4145 )",514306,"(+/- 10899 )",396861,"(+/- 4838 )",445191,"(+/- 6672 )",456463,"(+/- 9041 )",431127,"(+/- 5458 )",500529,"(+/- 8572 )",519619,"(+/- 20533 )",420794,"(+/- 4755 )",509761,"(+/- 16352 )",525326,"(+/- 15425 )",583917,"(+/- 14674 )",442070,"(+/- 13207 )",554741,"(+/- 9912 )",488473,"(+/- 14184 )",583392,"(+/- 8860 )",429619,"(+/- 5376 )",439622,"(+/- 9901 )",467627,"(+/- 18661 )",484007,"(+/- 12710 )",543216,"(+/- 4946 )",487521,"(+/- 10721 )",457792,"(+/- 14286 )",393829,"(+/- 7857 )",553159,"(+/- 17019 )",444496,"(+/- 8756 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",52964,"(+/- 4421 )",45247,"(+/- 5603 )",28301,"(+/- 3660 )",55858,"(+/- 4164 )",46111,"(+/- 4572 )",49330,"(+/- 4407 )",32245,"(+/- 4136 )",44568,"(+/- 4934 )",42470,"(+/- 5679 )",46527,"(+/- 5207 )",49187,"(+/- 5073 )",44696,"(+/- 3801 )",44906,"(+/- 3727 )",43439,"(+/- 3802 )",43257,"(+/- 4459 )",46980,"(+/- 4411 )",47710,"(+/- 4833 )",47882,"(+/- 5353 )",49302,"(+/- 3431 )",62832,"(+/- 5759 )",48241,"(+/- 5282 )",25845,"(+/- 3567 )",53589,"(+/- 5754 )",34237,"(+/- 3445 )",45831,"(+/- 4153 )",42159,"(+/- 4333 )",47117,"(+/- 3680 )",50625,"(+/- 4472 )",34715,"(+/- 3536 )",53999,"(+/- 5260 )",56075,"(+/- 4380 )",30390,"(+/- 3546 )",40883,"(+/- 3593 )",40878,"(+/- 3567 )",67507,"(+/- 7274 )",53612,"(+/- 4929 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","65 years and over",124589,"(+/- 2003 )",99516,"(+/- 5745 )",104741,"(+/- 2532 )",126757,"(+/- 3334 )",108267,"(+/- 3663 )",98774,"(+/- 4040 )",89293,"(+/- 5095 )",125555,"(+/- 4976 )",84776,"(+/- 5401 )",110878,"(+/- 5687 )",119444,"(+/- 2877 )",109221,"(+/- 4415 )",109995,"(+/- 2230 )",105400,"(+/- 2598 )",92226,"(+/- 3987 )",91072,"(+/- 2192 )",96811,"(+/- 3310 )",81603,"(+/- 4597 )",101548,"(+/- 2404 )",96268,"(+/- 4652 )",138865,"(+/- 4615 )",107179,"(+/- 4452 )",101679,"(+/- 5125 )",88960,"(+/- 5044 )",112350,"(+/- 4366 )",98088,"(+/- 2936 )",121212,"(+/- 3021 )",89993,"(+/- 4393 )",67915,"(+/- 4336 )",84679,"(+/- 3864 )",110094,"(+/- 1083 )",97576,"(+/- 4529 )",62399,"(+/- 4553 )",100257,"(+/- 3296 )",88383,"(+/- 4848 )",106961,"(+/- 4195 )"
People,"Disability Status of the Civilian Noninstitutionalized Population","With a disability",46656,"(+/- 3433 )",27957,"(+/- 3707 )",28038,"(+/- 2460 )",48439,"(+/- 2952 )",38791,"(+/- 3223 )",35555,"(+/- 3348 )",24621,"(+/- 3008 )",41780,"(+/- 4154 )",24908,"(+/- 2834 )",36693,"(+/- 3324 )",46374,"(+/- 3217 )",35560,"(+/- 3494 )",44301,"(+/- 2653 )",41016,"(+/- 2801 )",39555,"(+/- 3190 )",40546,"(+/- 2681 )",35758,"(+/- 2842 )",30903,"(+/- 2610 )",43520,"(+/- 2871 )",41123,"(+/- 3884 )",43150,"(+/- 3523 )",29356,"(+/- 3474 )",40969,"(+/- 3478 )",26894,"(+/- 3297 )",35228,"(+/- 2520 )",26627,"(+/- 2340 )",46994,"(+/- 3255 )",40050,"(+/- 3531 )",23697,"(+/- 2480 )",34687,"(+/- 3047 )",36761,"(+/- 2551 )",27240,"(+/- 2596 )",23879,"(+/- 2850 )",40820,"(+/- 2963 )",38380,"(+/- 3705 )",41962,"(+/- 3020 )"
People,"Residence 1 Year Ago","Population 1 year and over",717450,"(+/- 3962 )",776840,"(+/- 29403 )",906389,"(+/- 8474 )",773614,"(+/- 8253 )",749198,"(+/- 12325 )",807901,"(+/- 14400 )",754389,"(+/- 28639 )",886145,"(+/- 11622 )",761035,"(+/- 32700 )",916489,"(+/- 26279 )",781525,"(+/- 6097 )",835919,"(+/- 18567 )",705832,"(+/- 5865 )",752515,"(+/- 9522 )",794460,"(+/- 14702 )",736810,"(+/- 8264 )",776424,"(+/- 10993 )",815455,"(+/- 30258 )",720417,"(+/- 6470 )",821430,"(+/- 22661 )",822108,"(+/- 20982 )",949313,"(+/- 20886 )",777607,"(+/- 18358 )",820530,"(+/- 13382 )",809409,"(+/- 16472 )",912404,"(+/- 12697 )",737961,"(+/- 6692 )",758745,"(+/- 15829 )",770037,"(+/- 26011 )",782129,"(+/- 22219 )",904992,"(+/- 6543 )",766025,"(+/- 14925 )",738759,"(+/- 21870 )",704954,"(+/- 12052 )",848947,"(+/- 24217 )",748501,"(+/- 12526 )"
People,"Residence 1 Year Ago","Same house",607962,"(+/- 8758 )",663094,"(+/- 27273 )",766910,"(+/- 14171 )",664119,"(+/- 11963 )",636867,"(+/- 14145 )",698061,"(+/- 17323 )",622477,"(+/- 28186 )",773087,"(+/- 15984 )",650321,"(+/- 32563 )",752502,"(+/- 25348 )",660507,"(+/- 10224 )",731768,"(+/- 18562 )",606507,"(+/- 9219 )",643849,"(+/- 12365 )",717622,"(+/- 14009 )",623760,"(+/- 12464 )",629533,"(+/- 13452 )",697986,"(+/- 28317 )",576958,"(+/- 9047 )",656325,"(+/- 22085 )",686951,"(+/- 23623 )",830411,"(+/- 22244 )",674289,"(+/- 18599 )",669621,"(+/- 14627 )",689217,"(+/- 15878 )",772742,"(+/- 15146 )",637143,"(+/- 11925 )",666804,"(+/- 16078 )",680041,"(+/- 26755 )",680382,"(+/- 22088 )",721113,"(+/- 11602 )",645979,"(+/- 15604 )",639576,"(+/- 17755 )",635051,"(+/- 12847 )",697033,"(+/- 22645 )",641390,"(+/- 13727 )"
People,"Residence 1 Year Ago","Different house in the U.S.",107210,"(+/- 7801 )",99472,"(+/- 9355 )",131071,"(+/- 10400 )",107726,"(+/- 10588 )",109403,"(+/- 10043 )",101858,"(+/- 10728 )",118276,"(+/- 12705 )",106614,"(+/- 10849 )",106285,"(+/- 15395 )",155543,"(+/- 14985 )",116852,"(+/- 9546 )",100936,"(+/- 10618 )",95744,"(+/- 6827 )",106124,"(+/- 9683 )",71666,"(+/- 8478 )",104305,"(+/- 11557 )",142515,"(+/- 9208 )",107627,"(+/- 11160 )",139630,"(+/- 9122 )",160845,"(+/- 16028 )",127640,"(+/- 9271 )",111891,"(+/- 13346 )",95209,"(+/- 9011 )",138412,"(+/- 12065 )",114637,"(+/- 8729 )",135653,"(+/- 10677 )",99500,"(+/- 9962 )",84145,"(+/- 9363 )",84842,"(+/- 10908 )",97637,"(+/- 10406 )",175306,"(+/- 12137 )",113315,"(+/- 10644 )",91039,"(+/- 11474 )",66976,"(+/- 9115 )",147287,"(+/- 12504 )",104424,"(+/- 10930 )"
People,"Residence 1 Year Ago","Same county",53070,"(+/- 7251 )",70814,"(+/- 8485 )",64548,"(+/- 7431 )",52475,"(+/- 7611 )",59133,"(+/- 7963 )",63828,"(+/- 9549 )",81678,"(+/- 10531 )",51016,"(+/- 8809 )",74246,"(+/- 12628 )",96084,"(+/- 12834 )",54682,"(+/- 7264 )",54308,"(+/- 8128 )",46468,"(+/- 5791 )",55733,"(+/- 9131 )",46895,"(+/- 7861 )",71515,"(+/- 9720 )",75398,"(+/- 7898 )",83531,"(+/- 10297 )",72405,"(+/- 7879 )",124005,"(+/- 13688 )",74031,"(+/- 7677 )",57558,"(+/- 10054 )",59151,"(+/- 8096 )",81137,"(+/- 9822 )",51266,"(+/- 6248 )",61145,"(+/- 7306 )",60602,"(+/- 8561 )",58922,"(+/- 7665 )",71752,"(+/- 9292 )",68827,"(+/- 9439 )",85228,"(+/- 9427 )",74623,"(+/- 8399 )",69690,"(+/- 10185 )",45210,"(+/- 7364 )",92912,"(+/- 10082 )",58205,"(+/- 9569 )"
People,"Residence 1 Year Ago","Different county",54140,"(+/- 5213 )",28658,"(+/- 5060 )",66523,"(+/- 7654 )",55251,"(+/- 6506 )",50270,"(+/- 7064 )",38030,"(+/- 5817 )",36598,"(+/- 6900 )",55598,"(+/- 7511 )",32039,"(+/- 6801 )",59459,"(+/- 8796 )",62170,"(+/- 7509 )",46628,"(+/- 6539 )",49276,"(+/- 4801 )",50391,"(+/- 7038 )",24771,"(+/- 4373 )",32790,"(+/- 6049 )",67117,"(+/- 6200 )",24096,"(+/- 4463 )",67225,"(+/- 5783 )",36840,"(+/- 6844 )",53609,"(+/- 5551 )",54333,"(+/- 9803 )",36058,"(+/- 4766 )",57275,"(+/- 6052 )",63371,"(+/- 7162 )",74508,"(+/- 7702 )",38898,"(+/- 5168 )",25223,"(+/- 4915 )",13090,"(+/- 4594 )",28810,"(+/- 4468 )",90078,"(+/- 9383 )",38692,"(+/- 5361 )",21349,"(+/- 4354 )",21766,"(+/- 4698 )",54375,"(+/- 7059 )",46219,"(+/- 7148 )"
People,"Residence 1 Year Ago","Same state",43010,"(+/- 4722 )",16529,"(+/- 4417 )",37825,"(+/- 4874 )",41833,"(+/- 6002 )",38335,"(+/- 5814 )",25836,"(+/- 4763 )",18095,"(+/- 4910 )",38936,"(+/- 5616 )",23834,"(+/- 6519 )",41098,"(+/- 6804 )",43967,"(+/- 6707 )",29012,"(+/- 5551 )",35013,"(+/- 4262 )",36666,"(+/- 5783 )",17129,"(+/- 3532 )",8660,"(+/- 3132 )",44036,"(+/- 4919 )",12531,"(+/- 3192 )",52538,"(+/- 5567 )",15984,"(+/- 4650 )",34130,"(+/- 4988 )",39871,"(+/- 8549 )",23667,"(+/- 4026 )",34377,"(+/- 4988 )",40874,"(+/- 4873 )",48675,"(+/- 6065 )",27369,"(+/- 4158 )",13599,"(+/- 3267 )",8960,"(+/- 3348 )",18998,"(+/- 3681 )",51860,"(+/- 8409 )",21907,"(+/- 3668 )",16586,"(+/- 3781 )",16713,"(+/- 3881 )",39010,"(+/- 6591 )",38400,"(+/- 6685 )"
People,"Residence 1 Year Ago","Different state",11130,"(+/- 2512 )",12129,"(+/- 2705 )",28698,"(+/- 5999 )",13418,"(+/- 2892 )",11935,"(+/- 3037 )",12194,"(+/- 2848 )",18503,"(+/- 5084 )",16662,"(+/- 3986 )",8205,"(+/- 2574 )",18361,"(+/- 4732 )",18203,"(+/- 4730 )",17616,"(+/- 3297 )",14263,"(+/- 2482 )",13725,"(+/- 4579 )",7642,"(+/- 2311 )",24130,"(+/- 5249 )",23081,"(+/- 4667 )",11565,"(+/- 3022 )",14687,"(+/- 2905 )",20856,"(+/- 5591 )",19479,"(+/- 4350 )",14462,"(+/- 4451 )",12391,"(+/- 3056 )",22898,"(+/- 5175 )",22497,"(+/- 5352 )",25833,"(+/- 5114 )",11529,"(+/- 3140 )",11624,"(+/- 3922 )",4130,"(+/- 2598 )",9812,"(+/- 2410 )",38218,"(+/- 6755 )",16785,"(+/- 4112 )",4763,"(+/- 1814 )",5053,"(+/- 2363 )",15365,"(+/- 2787 )",7819,"(+/- 2204 )"
People,"Residence 1 Year Ago",Abroad,2278,"(+/- 1451 )",14274,"(+/- 6205 )",8408,"(+/- 2227 )",1769,"(+/- 884 )",2928,"(+/- 2313 )",7982,"(+/- 6493 )",13636,"(+/- 4940 )",6444,"(+/- 2962 )",4429,"(+/- 1345 )",8444,"(+/- 3413 )",4166,"(+/- 2100 )",3215,"(+/- 1330 )",3581,"(+/- 1595 )",2542,"(+/- 1147 )",5172,"(+/- 1939 )",8745,"(+/- 2471 )",4376,"(+/- 1768 )",9842,"(+/- 3846 )",3829,"(+/- 1296 )",4260,"(+/- 2374 )",7517,"(+/- 4722 )",7011,"(+/- 3086 )",8109,"(+/- 2389 )",12497,"(+/- 2775 )",5555,"(+/- 1925 )",4009,"(+/- 1614 )",1318,"(+/- 1080 )",7796,"(+/- 2654 )",5154,"(+/- 3127 )",4110,"(+/- 2173 )",8573,"(+/- 2887 )",6731,"(+/- 2289 )",8144,"(+/- 3017 )",2927,"(+/- 2048 )",4627,"(+/- 2756 )",2687,"(+/- 1435 )"
Workers,"Employment Status","Population 16 years and over",568939,"(+/- 3455 )",623519,"(+/- 22178 )",709496,"(+/- 7280 )",611027,"(+/- 6198 )",593500,"(+/- 8539 )",634259,"(+/- 10984 )",599360,"(+/- 20991 )",697087,"(+/- 10866 )",598542,"(+/- 22776 )",712183,"(+/- 18984 )",608671,"(+/- 5066 )",658931,"(+/- 12760 )",555314,"(+/- 4377 )",598591,"(+/- 6739 )",591602,"(+/- 11021 )",569610,"(+/- 6232 )",630048,"(+/- 9293 )",634972,"(+/- 23669 )",571435,"(+/- 5053 )",639140,"(+/- 18113 )",693849,"(+/- 15906 )",726566,"(+/- 16289 )",595190,"(+/- 14712 )",668335,"(+/- 10335 )",652195,"(+/- 13312 )",715430,"(+/- 8583 )",583977,"(+/- 5264 )",564099,"(+/- 11758 )",563353,"(+/- 19936 )",602842,"(+/- 14788 )",703900,"(+/- 4816 )",608289,"(+/- 11952 )",547564,"(+/- 16129 )",531821,"(+/- 9189 )",674318,"(+/- 19226 )",587658,"(+/- 9743 )"
